"Access Denied";"Zugriff verweigert"
"click here";"Klicken Sie hier"
Accreditation;Akkreditierung
"Business Information";"Geschäftsinformationen"
"Seller Type";"Verkäufertyp"
"Owner Name";"Name des Besitzers"
"Store Name";"Shop-Namen"
"Primary Address";"Hauptadresse"
"Other Address";"Andere Adresse"
"Contact Number";"Kontakt-Telefon"
"Application Status";"Bewerbungsstatus"
You;Sie
Submit;Senden
"Mark as Complete";"Als erledigt markieren"
"Mark as Incomplete";"Markieren als unvollständig"
"Bank Information";"Bankinformationen"
"Bank Name";"Namen der Bank"
"Account Title";"Konto-Titel"
"Account Name";"KontoName"
"Account Number";"Kontonummer"
"Legal Files";"Legale Dateien"
File;Datei
"Date Uploaded";"Datum hochgeladen"
Remarks;Bemerkungen
"DTI/SEC Permit";"Erlaubnis DTI/SEC"
"Mayor's Permit";"Genehmigung des Bürgermeisters"
"BIR Permit";"BIR-Genehmigung"
"FORM MA11501 Permit";"FORM MA11501 Genehmigung"
Others;Andere
SSS;SSS
"PAG IBIG";"PAG-IBIG"
Postal;Postalische
Passport;Reisepass
"Driver's License";"Führerschein"
PRC;PRC
"Voter's ID";"ID des Wählers"
"School ID";"Schule-ID"
TIN;TIN
"Valid ID";"Gültige ID"
"Download this file";"Diese Datei herunterladen"
"Update Accreditation Type";"Updatetyp Akkreditierung"
Okay;Okay
Accreditations;Akkreditierungen
"Select Status";"Wählen Sie Status"
Search;Suche
Status;Status
"Quick Info";"Schnell  Info"
Name:;Namen
Phone:;Telefon:
Email:;E-Mail:
"Affiliate Accreditation";"Affiliate-Akkreditierung"
"Personal Information";"Persönliche Informationen"
"Identification Document";"Dokument zur Identifizierung"
Username;Benutzername
Password;Passwort
"Sign In";"Anmelden"
"Manage Administrator";"Verwalten von Administrator"
"Register Administrator";"Register-Administrator"
"Enter Username here";"Hier geben Sie Benutzernamen"
"Enter Password here";"Passwort hier eingeben"
"Change Password";"Passwort ändern"
"Confirm Password";"Kennwort bestätigen"
"Enter Confirm Password here";"Geben Sie Kennwort bestätigen hier"
"First Name";"Vornamen"
"Enter First name here";"Geben Sie hier den Vornamen"
"Last Name";"Nachnamen"
"Enter Last name here";"Nachnamen hier eingeben"
"User Role";"Benutzerrolle"
"Select Role";"Wählen Sie die Rolle"
Register;Registrieren
"Manage Roles";"Verwalten von Rollen"
ID;ID
Fullname;Vollständiger namen
Role;Rolle
Activation;Aktivierung
"Enter your new password here";"Geben Sie hier Ihr neue Passwort"
"Confirm your new password here";"Bestätigen Sie Ihr neue Passwort hier"
Cancel;Abbrechen
"Manually Created Accounts";"Manuell erstellte Konten"
"Number of Manual Accounts: 227";"Anzahl der manuelle Zugänge: 227"
"Search By Name / ID No. / Business Name";"Suche nach Namen/ID-Nr./Firmennamen"
"Accreditation Status:";"Akkreditierungsstatus:"
Unaccredited;Staatlich
Accredited;Akkreditierte
All;Alle
"Created By:";"Erstellt von:"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin die Nachtschrat"
"Account Status:";"Kontostand:"
Activated;Aktiviert
Locked;Gesperrt
"Create Account";"Konto erstellen"
"Customer ID";"Kunden-ID"
"Business Name";"Firmennamen"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Burger-Maschine"
Seller;Verkäufer
"Ronald McDonald Duck";"Ronald-McDonald-Duck"
"McDonalds Fastfood";"McDonalds Fastfood"
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus der Ehre"
Hybrid;Hybrid
"Manual Creation List";"Manuelle Erstellung Liste"
"Manual Creation Details";"Manuelle Erstellung Details"
"Account Details";"Kontodetails"
"Account Notes";"Konto-Notes"
"Basic Information";"Grundlegende Informationen"
Affiliate;Partner
"Email Address";"E-Mail-Adresse"
"Mobile Number";"Handy-Nummer"
"Address Information";"Adressinformationen"
Addresses;Adressen
"&nbsp";"& nbsp"
Home;Startseite
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 Gebäude Anschrift2 Straße Vorort Metro Manila Manila Barangay 2, 566056"
"Bank Accounts";"Bankkonten"
2130910000000;2130910000000
"George Georgia";"George-Georgien"
"Metrobank of the Borneo";"Metrobank der Borneo"
"Accreditation Option";"Akkreditierung-Option"
"Accreditation Level";"Akkreditierung-Ebene"
"Level 1";"Stufe 1"
"Level 2";"Stufe 2"
"Level 3";"Stufe 3"
"Level 4";"Stufe 4"
"Activate this Account?";"Aktivieren Sie dieses Konto?"
Activate;Aktivieren
"This Account is Active";"Dieses Konto ist aktiv"
"If you wish to deactivate this account, click";"Wenn Sie dieses Konto deaktivieren möchten, klicken Sie auf"
"Deactivate Now";"Jetzt deaktivieren"
"Temporary Password";"Temporäres Passwort"
"System Information";"Systeminformationen"
"Created By";"Erstellt von"
"Karl Cases";"Karl-Fällen"
", 10/22/16 4:43 am";", 22/10/16 04:43"
"Last Modified By";"Zuletzt geändert durch"
"Save Changes";"Änderungen speichern"
Notes;Hinweise
Title;Titel
Message;Nachricht
Actions;Aktionen
"About Paul Edward Borja and the Spaghetti";"Über Paul Edward Borja und die Spaghetti"
"Last Modified: 10/22/16 4:51 am";"Zuletzt geändert: 22/10/16 04:51"
View;Anzeigen
"New Notes";"Neue Notizen"
Placeholder;Platzhalter
"Enter product description here";"Geben Sie hier die Produktbeschreibung"
Save;Sie sparen
"Bank Account";"Bankkonto"
"Enter your bank account title here";"Geben Sie hier Ihre Bankkonto-Titel"
"Enter your bank account number here";"Geben Sie hier Ihre Bankverbindung"
"Enter your bank account name here";"Geben Sie hier Ihren Bankkonto ein"
"Are you sure you want to delete this bank account";"Sind Sie sicher, dass Sie dieses Konto löschen möchten"
Delete;Löschen
Log-out;Logout
English;Englisch
Chinese;Chinesisch
Canada;Kanada
"Transactions List";"Liste der Transaktionen"
"Seller Pay-out";"Verkäufer Auszahlung"
"Buyer Refund";"Käufer Rückerstattung"
"Buyer Refund History";"Käufer Rückerstattung Geschichte"
"Promo List";"Promo-Liste"
"Seller Accreditation";"Verkäufer-Akkreditierung"
"Inhouse Products";"Inhouse-Produkte"
"Buyer List";"Käufer-Liste"
"Seller/Affiliate List";"Verkäufer/Affiliate-Liste"
"Product Listings";"Produktlisten"
Vouchers;Gutscheine
"Request Pay-Outs List";"Auszahlungen-Liste anfordern"
"Batch Pay-Out List";"Batch-Pay-Out-Liste"
Product;Produkt
Notification;Benachrichtigung
"Mobile Web view (CMS)";"Mobil Web-Ansicht (CMS)"
"Daily Present";"Tägliches Geschenk"
"Custom Messages";"Benutzerdefinierte Meldungen"
"Message here";"Nachricht hier"
"Inner Banners";"Innere-Banner"
"Upload Banner";"Banner Upload"
"Select your Banner Permit file from your computer";"Wählen Sie Ihre Banner zu ermöglichen-Datei von Ihrem computer"
"Compatible files: JPEG and PNG";"Kompatiblen Dateien: JPEG und PNG"
"Banner URL";"Banner-URL"
"Product CMS";"Produkt CMS"
"Created Date/Time";"Erstellten Datum/Uhrzeit"
Creator;Creator
Type;Typ
"12/31/16, 3:00pm";"12/31/16, 15:00"
"George Paul";"George Paul"
"Homepage Row";"Homepage-Zeile"
"Hot Items";"Heiße Gegenstände"
150;150
"Queued " 12:00am";"In der Warteschlange bei 12:00 Uhr"
"Custom Page";"Benutzerdefinierte Seite"
"Shop Wise";"Geschäftweise"
Create;Erstellen
"Create Product CMS";"Produkt CMS erstellen"
"Product Title";"Produkttitel"
"Enter Your Product Title";"Geben Sie Ihre Produkttitel"
"Upload Featured Banner (Homepage)";"Laden Sie Empfohlene Banner (Homepage)"
"Upload Featured Banners (Homepage) here";"Laden Sie hier vorgestellten Banner (Homepage)"
"Compatible files: JPEG, PNG and PDF";"Kompatiblen Dateien:JPEG, PNG und PDF"
"Paste Featured Product (Homepage) Link here";"Featured Product (Homepage) Link hier einfügen"
Image;Bild
"Upload Featured Banner (Inner-Page)";"Laden Sie Empfohlene Banner (Inner-Seite)"
"Upload Featured Banners (Inner-Page) here";"Featured (Inner-Seite) hier Banner hochladen"
"Paste Product Link (Inner-Page) here";"Fügen Sie hier Produkt-Link (Inner-Seite)"
"Product List";"Produktliste"
Clear;Klar
"Add Products";"Produkte hinzufügen"
"Date Created";"Erstellungsdatum"
"Product Name";"Produktnamen"
"Active Promo";"Aktive Promo"
"Original Price";"Originalpreis"
"Discounted Price";"Besonders günstigen Preis"
"Available Stock";"Verfügbaren bestand"
"Product Sold";"Verkaufte Ware"
12/16/16;12/16/16
0.2;0.2
"PhP 21230";"PhP 21230"
"PhP 18930";"PhP 18930"
2003;2003
122;122
"By Checking this box";"Durch Aktivieren dieses Kontrollkästchens"
"Start the Process IMMEDIATELY";"Starten Sie den Prozess sofort"
"Enter product list here";"Geben Sie hier die Produktliste"
"Price Range:";"Preisspanne:"
Brands:;Marken:
"Sort By:";"Sortieren nach:"
Alphabetical;Alphabetische
"New to Old";"Neu auf alt"
"Old to New";"Alt auf neu"
Relevance;Relevanz
Categories:;Kategorien:
Status:;Status:
Active;Aktive
Inactive;Inaktive
Manufacturer:;Hersteller:
"Please click on the image you want to set as primary";"Klicken Sie bitte auf das Bild, das Sie als primäre festlegenmöchten"
Primary;Primäre
Check;Überprüfen Sie
Error;Fehler
"Remove file";"Datei entfernen"
SKU;SKU
Width;Breite
Height;Höhe
Length;Länge
