"Access Denied";"Acceso denegado"
"click here";"Haga clic aquí"
Accreditation;Acreditación
"Business Information";"Información de negocios"
"Seller Type";"Tipo de vendedor"
"Owner Name";"Nombre del dueño"
"Store Name";"Nombre de la tienda"
"Primary Address";"Dirección principal"
"Other Address";"Otra  dirección"
"Contact Number";"Número de contacto"
"Application Status";"Estado de la aplicación"
You;Tú
Submit;Enviar
"Mark as Complete";"Marcar como completa"
"Mark as Incomplete";"Marcar como Incompleto"
"Bank Information";"Información bancaria"
"Bank Name";"Nombre del banco"
"Account Title";"Titulo de cuenta"
"Account Name";"Nombre de la cuenta"
"Account Number";"Número de cuenta"
"Legal Files";"Archivos legales"
File;Archivo
"Date Uploaded";"Fecha de Publicación"
Remarks;Observaciones
"DTI/SEC Permit";"Permisos DTI / SEC"
"Mayor's Permit";"Permiso del Alcalde"
"BIR Permit";"Permiso BIR"
"FORM MA11501 Permit";"Permiso FORM MA 11501 "
Others;Otros
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postal
Passport;Pasaporte
"Driver's License";"Licencia de conducir"
PRC;República Popular China
"Voter's ID";"Identificación de votantes "
"School ID";"identificación de la escuela"
TIN;TIN
"Valid ID";"Identificación válida"
"Download this file";"Descargar este archivo"
"Update Accreditation Type";"Tipo de actualización de Acreditación"
Okay;Ok
Accreditations;Acreditaciones
"Select Status";"Seleccione Estado"
Search;Buscar
Status;Estado
"Quick Info";"Información rápida"
Name:;Nombre:
Phone:;Teléfono:
Email:;Correo electrónico:
"Affiliate Accreditation";"Acreditación de afiliados"
"Personal Information";"Información personal"
"Identification Document";"Documento de identificación"
Username;Nombre de usuario
Password;Contraseña
"Sign In";"Registrarse"
"Manage Administrator";"Gestión de administrador"
"Register Administrator";"Registro del administrador"
"Enter Username here";"Introduzca el nombre de usuario "
"Enter Password here";"Introduzca su contraseña "
"Change Password";"Cambia la contraseña"
"Confirm Password";"Confirmar contraseña"
"Enter Confirm Password here";"Introducir la confirmación de la contraseña "
"First Name";"Nombre"
"Enter First name here";"Introduzca el Nombre"
"Last Name";"Apellido"
"Enter Last name here";"Introduzca el apellido aquí"
"User Role";"Funciones del usuario"
"Select Role";"Seleccione la función"
Register;Registrarse
"Manage Roles";"Gestionar funciones"
ID;IDENTIFICACIÒN
Fullname;Nombre completo
Role;Función  
Activation;Activación
"Enter your new password here";"Ingrese su nueva contraseña "
"Confirm your new password here";"Confirmar su nueva contraseña "
Cancel;Cancelar
"Manually Created Accounts";"Cuentas creadas manualmente"
"Number of Manual Accounts: 227";"Número de Cuentas Manuales: 227"
"Search By Name / ID No. / Business Name";"Búsqueda por nombre / Nº de IDENTIFICACIÒN/ Nombre del Negocio"
"Accreditation Status:";"Estado de Acreditación:"
Unaccredited;No acreditado
Accredited;Autorizado
All;Todas
"Created By:";"Creado por:"
--;-
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan Gray"
KarlDub;Karl Dub
"Kevin the Nightstalker";"Kevin el Night Stalker"
"Account Status:";"Estado de la cuenta:"
Activated;Activado
Locked;bloqueado
"Create Account";"Crear una cuenta"
"Customer ID";"Identificación del cliente"
"Business Name";"Nombre del Negocio"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Máquina de hamburguesa"
Seller;Vendedor
"Ronald McDonald Duck";"Ronald McDonald Duck"
"McDonalds Fastfood";"Comida rápida McDonalds "
Mechant;Comerciante
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus de Honor"
Hybrid;Híbrido
"Manual Creation List";"Lista de redacción manual"
"Manual Creation Details";"Detalles de creación manual"
"Account Details";"Detalles de la cuenta"
"Account Notes";"Notas de la cuenta"
"Basic Information";"Información básica"
Affiliate;Afiliado
"Email Address";"Dirección de correo electrónico"
"Mobile Number";"Número de teléfono móvil"
"Address Information";"Información de dirección"
Addresses;Direcciones
"&nbsp";"& nbsp"
Home;Página principal
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056"
"Bank Accounts";"Cuentas bancarias"
2130910000000;2130910000000
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Metrobank de Borneo"
"Accreditation Option";"Opción de acreditación"
"Accreditation Level";"Nivel de acreditación"
"Level 1";"Nivel 1"
"Level 2";"Nivel 2"
"Level 3";"Nivel 3"
"Level 4";"Nivel 4"
"Activate this Account?";"¿Desea activar esta cuenta?"
Activate;Activar
"This Account is Active";"Esta cuenta está activa"
"If you wish to deactivate this account, click";"Si desea desactivar esta cuenta, haga clic"
"Deactivate Now";"Desactivar Ahora"
"Temporary Password";"Contraseña temporal"
"System Information";"Información del sistema"
"Created By";"Creado por"
"Karl Cases";"Karl Cases"
", 10/22/16 4:43 am";", 10/22/16 4:43 am:"
"Last Modified By";"Última modificación realizada por"
"Save Changes";"Guardar cambios"
Notes;Notas
Title;Título
Message;Mensaje
Actions;Acciones
"About Paul Edward Borja and the Spaghetti";"Acerca de Paul Edward Borja y el espagueti"
"Last Modified: 10/22/16 4:51 am";"Última modificación: 22/10/16 04:51 am"
View;Ver
"New Notes";"Nuevas Notas"
Placeholder;Marcador de posición
"Enter product description here";"Introduzca aquí la descripción del producto"
Save;Guardar  
"Bank Account";"Cuenta bancaria"
"Enter your bank account title here";"Introduzca su título de la cuenta bancaria "
"Enter your bank account number here";"Introduzca su número de cuenta bancaria "
"Enter your bank account name here";"Introduzca su nombre de cuenta bancaria "
"Are you sure you want to delete this bank account";"¿Seguro que quiere borrar esta cuenta bancaria?"
Delete;Borrar
Log-out;Cerrar sesión
English;Inglés
Chinese;Chino
Canada;Canadá
"Transactions List";"Lista de transacciones"
"Seller Pay-out";"Pago de vendedor "
"Buyer Refund";"Reembolso del comprador"
"Buyer Refund History";"Historial de reembolso del comprador"
"Promo List";"Lista de Promoción"
"Seller Accreditation";"Acreditación del vendedor"
"Inhouse Products";"Productos en las instalaciones"
"Buyer List";"Lista comprador"
"Seller/Affiliate List";"Lista de Vendedor / Afiliados"
"Product Listings";"Listado de productos"
Vouchers;Vales
"Request Pay-Outs List";"Lista de solicitud de pagos"
"Batch Pay-Out List";"Lista de pago de lotes"
Product;Producto  
Notification;Notificación
"Mobile Web view (CMS)";"Vista de Web móvil (CMS)"
"Daily Present";"Presentación diariamente"
"Custom Messages";"Mensajes personalizados"
"Message here";"Mensajes"
"Inner Banners";"Banderas interiores"
"Upload Banner";"Subir Bandera"
"Select your Banner Permit file from your computer";"Seleccione el archivo de Permiso de bandera desde su ordenador"
"Compatible files: JPEG and PNG";"Archivos compatibles: JPEG y PNG"
"Banner URL";"Bandera URL "
"Product CMS";"Producto CMS "
"Created Date/Time";"Fecha / Hora de creación"
Creator;Creador
Type;Tipo
"12/31/16, 3:00pm";"31/12/16 a las 3:00 pm"
"George Paul";"George Paul"
"Homepage Row";"Fila de Página de inicio "
"Hot Items";"Artículos de moda"
150;150
"Queued " 12:00am";"En fila a " 12:00am"
"Custom Page";"Pagina personalizada"
"Shop Wise";"Compra racional"
Create;Crear
"Create Product CMS";"Crear Producto CMS"
"Product Title";"Titulo del producto"
"Enter Your Product Title";"Ingrese su Titulo del producto"
"Upload Featured Banner (Homepage)";"Subir bandera de destacado (Página de inicio)"
"Upload Featured Banners (Homepage) here";"Subir bandera de destacados (Pagina principal) aquí"
"Compatible files: JPEG, PNG and PDF";"Archivos compatibles: JPEG, PNG y PDF"
"Paste Featured Product (Homepage) Link here";"Pegar vínculo especial del producto (Página de inicio) aquí"
Image;Imagen
"Upload Featured Banner (Inner-Page)";"Sube Bandera de destacado (Interior-PAGE)"
"Upload Featured Banners (Inner-Page) here";"Carga de banderas destacados (Pàgina interior-PAGE) aquí"
"Paste Product Link (Inner-Page) here";"Pegar enlace de Producto (interior-Página) aquí"
"Product List";"Lista de productos"
Clear;Borrar 
"Add Products";"Añadir los productos"
"Date Created";"Fecha de creación"
"Product Name";"Nombre del producto"
"Active Promo";"Promoción activa"
"Original Price";"Precio original"
"Discounted Price";"Precio con descuento"
"Available Stock";"Almacenamiento disponible"
"Product Sold";"Producto agotado "
12/16/16;12/16/16
0.2;0.2
"PhP 21230";"PHP 21230"
"PhP 18930";"PHP 18930"
2003;2003
122;122
"By Checking this box";"Marcando esta casilla"
"Start the Process IMMEDIATELY";"Iniciar el procedimiento INMEDIATAMENTE"
"Enter product list here";"Introduzca la lista de productos "
"Price Range:";"Rango de precios:"
Brands:;marcas:
"Sort By:";"Ordenar por:"
Alphabetical;Alfabético
"New to Old";"Nuevo a viejo"
"Old to New";"Viejo a nuevo"
Relevance;Pertinencia
Categories:;Categorías:
Status:;Estado:
Active;Activo
Inactive;Inactivo
Manufacturer:;Fabricante:
"Please click on the image you want to set as primary";"Por favor, haga clic en la imagen que desea establecer como imagen principal"
Primary;Primario
Check;Comprobar
Error;Error
"Remove file";"Quitar archivo"
SKU;SKU
Width;Anchura
Height;Altura
Length;Longitud
Weight;Peso
Quantity;Cantidad
"Regular Price";"Precio regular"
"Shipping fee";"Gastos de envío"
"Retail Price";"Precio al por menor"
Commission;Comisión
Date;Fecha
"Promo Name";"Nombre promocional"
"Promo Discount";"Descuento Promocional"
42716;42716
"Perfect Purple Pair";"Par púrpura perfecto"
"Last Edit By";"Ultima edición realizada por"
"Time Stamp";"Estampado de fecha"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"cargar 5 Fotos"
"2:00 am";"2:00 am"
"Date Range:";"Rango de fechas:"
"Start Date";"Fecha de inicio"
"End Date";"Fecha final"
"Quantity Sold";"Cantidad vendida"
50;50
"Export to Excel";"Exportar a Excel"
"In-House Listings";"Listados internos"
Item;Artículos
Category;Categoría
Brand;Marca
