"Access Denied";"Accès refusé"
"click here";"Cliquez ici"
Accreditation;Accréditation
"Business Information";"Information d'affaires"
"Seller Type";"Type de vendeur"
"Owner Name";"Nom du propriétaire"
"Store Name";"Nom du magasin"
"Primary Address";"Adresse principale"
"Other Address";"Autre adresse"
"Contact Number";"Numéro de téléphone"
"Application Status";"État de la demande"
You;Vous
Submit;Envoyer
"Mark as Complete";"Marquer comme terminé"
"Mark as Incomplete";"Marquer comme étant incomplète"
"Bank Information";"Coordonnées banques"
"Bank Name";"Nom de la Banque"
"Account Title";"Compte titre"
"Account Name";"Nom de compte"
"Account Number";"Numéro de compte"
"Legal Files";"Dossiers juridiques"
File;Fichier
"Date Uploaded";"La date envoyée"
Remarks;Remarques
"DTI/SEC Permit";"DTI/s permis"
"Mayor's Permit";"Permis du maire"
"BIR Permit";"BIR permis"
"FORM MA11501 Permit";"FORME MA11501 permis"
Others;D'autres
SSS;SSS
"PAG IBIG";"IBIG PAG"
Postal;Postal
Passport;Passeport
"Driver's License";"Conduire permis de"
PRC;RÉPUBLIQUE POPULAIRE DE CHINE
"Voter's ID";"ID de l'électeur"
"School ID";"ID de l'école"
TIN;ÉTAIN
"Valid ID";"Pièce d'identité valide"
"Download this file";"Télécharger ce fichier"
"Update Accreditation Type";"Mise à jour d'agrément Type"
Okay;OK
Accreditations;Accréditations
"Select Status";"Sélectionnez l'État"
Search;Recherche
Status;Statut
"Quick Info";"Info Express"
Name:;Nom:
Phone:;Téléphone:
Email:;Messagerie:
"Affiliate Accreditation";"Accréditation d'affiliation"
"Personal Information";"Renseignements personnels"
"Identification Document";"Document d'identification"
Username;Nom d'utilisateur
Password;Mot de passe
"Sign In";"Connexion"
"Manage Administrator";"Administrateur de gérer"
"Register Administrator";"Administrateur de Registre"
"Enter Username here";"Entrez le nom d'utilisateur ici"
"Enter Password here";"Entrez le mot de passe ici"
"Change Password";"Changer mot de passe"
"Confirm Password";"Confirmer mot de passe"
"Enter Confirm Password here";"Entrez le mot de passe confirmer ici"
"First Name";"Prénom"
"Enter First name here";"Entrez le prénom ici"
"Last Name";"Nom de famille"
"Enter Last name here";"Entrez le nom de famille ici"
"User Role";"Rôle d'utilisateur"
"Select Role";"Sélectionnez le rôle"
Register;S'inscrire
"Manage Roles";"Gérer les rôles"
ID;ID
Fullname;Nom et prénom
Role;Rôle
Activation;Activation
"Enter your new password here";"Entrez votre nouveau mot de passe ici"
"Confirm your new password here";"Confirmez votre nouveau mot de passe ici"
Cancel;Annuler
"Manually Created Accounts";"Comptes créés manuellement"
"Number of Manual Accounts: 227";"Nombre de comptes manuelles :227"
"Search By Name / ID No. / Business Name";"Recherche par nom/ID n°/nom de l'entreprise"
"Accreditation Status:";"Statut d'agrément :"
Unaccredited;Non agréés
Accredited;Accrédités par
All;Tous les
"Created By:";"Créé par :"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin le Nightstalker"
"Account Status:";"État de compte:"
Activated;Activé
Locked;Verrouillé
"Create Account";"Créer compte"
"Customer ID";"ID de client"
"Business Name";"Nom d'entreprise"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Machine de Burger"
Seller;Vendeur
"Ronald McDonald Duck";"Ronald McDonald Duck"
"McDonalds Fastfood";" McDonald ' s Restauration rapide"
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus d'honneur"
Hybrid;Hybride
"Manual Creation List";"Liste de création manuelle"
"Manual Creation Details";"Détails de la création manuelle"
"Account Details";"Détails de compte"
"Account Notes";"Notes de compte"
"Basic Information";"Informations de base"
Affiliate;Société affiliée
"Email Address";"Adresse de courriel"
"Mobile Number";"Numéro de téléphone mobile"
"Address Information";"Adresse de livraison"
Addresses;Adresses
"&nbsp";"& nbsp"
Home;Accueil
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"Barangay 2 Manille métro Manille de lotissement rue de 1234 bâtiment rue 2, 566056"
"Bank Accounts";"Comptes banques"
2130910000000;2130910000000
"George Georgia";"Géorgie George"
"Metrobank of the Borneo";"Metrobank du Bornéo"
"Accreditation Option";"Option d'accréditation"
"Accreditation Level";"Niveau d'accréditation"
"Level 1";"Niveau 1"
"Level 2";"Niveau 2"
"Level 3";"Niveau 3"
"Level 4";"Niveau 4"
"Activate this Account?";"Activer ce compte?"
Activate;Activer
"This Account is Active";"Ce compte est actif"
"If you wish to deactivate this account, click";"Si vous désirez désactiver ce compte, cliquez sur"
"Deactivate Now";"Désactiver maintenant"
"Temporary Password";"Mot de passe temporaire"
"System Information";"Système d'Information"
"Created By";"Créé par"
"Karl Cases";"Cas de Karl"
", 10/22/16 4:43 am";", 22/10/16 04:43 "
"Last Modified By";"Dernière modification par"
"Save Changes";"Enregistrer les modifications"
Notes;Notes
Title;Titre
Message;Message
Actions;Actions
"About Paul Edward Borja and the Spaghetti";"Sur les Paul Edward Borja et les spaghettis"
"Last Modified: 10/22/16 4:51 am";"Dernière modification : 22/10/16 04:51"
View;Vue
"New Notes";"Nouveaux billets"
Placeholder;Espace réservé
"Enter product description here";"Entrez la description du produit ici"
Save;Enregistrer
"Bank Account";"Compte banque"
"Enter your bank account title here";"Entrez ici le titre de votre compte banque"
"Enter your bank account number here";"Entrez ici votre numéro de compte banque"
"Enter your bank account name here";"Entrez ici votre nom de compte banque"
"Are you sure you want to delete this bank account";"Êtes-vous sûr de que vouloir supprimer ce compte banque"
Delete;Supprimer
Log-out;Déconnexion
English;Anglais
Chinese;Chinois
Canada;Canada
"Transactions List";"Liste des opérations"
"Seller Pay-out";"Vendeur Pay-out"
