"Access Denied";"Accesso negato"
"click here";"clicca qui"
Accreditation;Accreditamento
"Business Information";"Informazioni Commerciali"
"Seller Type";"Tipo Venditore"
"Owner Name";"Nome Proprietario"
"Store Name";"Nome Negozio"
"Primary Address";"Indirizzo Principale"
"Other Address";"Altro Indirizzo"
"Contact Number";"Numero di Contatto"
"Application Status";"Stato Richiesta"
You;Tu
Submit;Invia
"Mark as Complete";"Segna come Completo"
"Mark as Incomplete";"Segna come Incompleto"
"Bank Information";"Infomazioni Banca"
"Bank Name";"Nome Banca"
"Account Title";"Titolo Conto"
"Account Name";"Nome Conto"
"Account Number";"Numero Conto"
"Legal Files";"File Legali"
File;File 
"Date Uploaded";"Data Caricata"
Remarks;Osservazioni
"DTI/SEC Permit";"Permesso DTI/SEC"
"Mayor's Permit";"Permesso Maggiore"
"BIR Permit";"Permesso BIR"
"FORM MA11501 Permit";"Permesso FORM MA11501 "
Others;Altri
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Postale
Passport;Passaporto
"Driver's License";"Patente di Guida"
PRC;PRC
"Voter's ID";"Documento d'Identità del Votante"
"School ID";"Documento d'Identità Scolastico"
TIN;TIN
"Valid ID";"Documento d'Identità valido"
"Download this file";"Scarica questo file"
"Update Accreditation Type";"Aggiorna Tipo Accreditamento"
Okay;Ok
Accreditations;Accrediti
"Select Status";"Seleziona Stato"
Search;Cerca
Status;Stato
"Quick Info";"Informazioni Rapide"
Name:;Nome:
Phone:;Telefono:
Email:;Email:
"Affiliate Accreditation";"Accreditamento Affiliato"
"Personal Information";"Informazioni Personali"
"Identification Document";"Documento d'Identità"
Username;Nome utente
Password;Password
"Sign In";"Accedi"
"Manage Administrator";"Gestisci Amministratore"
"Register Administrator";"Registra Amministratore"
"Enter Username here";"Inserisci Username qui"
"Enter Password here";"Inserisci Password qui"
"Change Password";"Cambia Password"
"Confirm Password";"Conferma Password"
"Enter Confirm Password here";"Inserisci Conferma Password qui"
"First Name";"Nome"
"Enter First name here";"Inserisci Nome qui"
"Last Name";"Cognome"
"Enter Last name here";"Inserisci Cognome qui"
"User Role";"Ruolo Utente"
"Select Role";"Seleziona Ruolo"
Register;Registra
"Manage Roles";"Gestisci Ruoli"
ID;ID
Fullname;Nome Completo
Role;Ruolo
Activation;Attivazione
"Enter your new password here";"Inserisci la tua nuova password qui"
"Confirm your new password here";"Conferma la tua nuova password qui"
Cancel;Cancella
"Manually Created Accounts";"Conti Creati Manualmente"
"Number of Manual Accounts: 227";"Numero di Conti Manuali: 227"
"Search By Name / ID No. / Business Name";"Cerca per Nome / N. ID / Nome Commerciale"
"Accreditation Status:";"Stato Accreditamento:"
Unaccredited;Non Accreditati
Accredited;Accreditati
All;Tutti
"Created By:";"Creato da:"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin the Nightstalker"
"Account Status:";"Stato Conto:"
Activated;Attivato
Locked;Bloccato
"Create Account";"Crea Account"
"Customer ID";"ID Cliente"
"Business Name";"Nome Commerciale"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Burger Machine"
Seller;Venditore
"Ronald McDonald Duck";"Ronald McDonald Duck"
"McDonalds Fastfood";"McDonalds Fastfood"
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus of Honor"
Hybrid;Hybrid
"Manual Creation List";"Lista Creazione Manuale"
"Manual Creation Details";"Dettagli Creazione Manuale"
"Account Details";"Dettagli Conto"
"Account Notes";"Note Conto"
"Basic Information";"Informazioni Base"
Affiliate;Affiliato
"Email Address";"Indirizzo Email"
"Mobile Number";"Cellulare"
"Address Information";"Informazioni Indirizzo"
Addresses;Indirizzi
"&nbsp";"&nbsp"
Home;Casa
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056"
"Bank Accounts";"Conti Bancari"
2130909455677;2130909455677
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Metrobank of the Borneo"
"Accreditation Option";"Opzione di Accreditamento"
"Accreditation Level";"Livello Accreditamento"
"Level 1";"Livello 1"
"Level 2";"Livello 2"
"Level 3";"Livello 3"
"Level 4";"Livello 4"
"Activate this Account?";"Attivare questo Conto?"
Activate;Attiva
"This Account is Active";"Questo Conto è Attivo"
"If you wish to deactivate this account, click";"Se desideri disattivare questo conto, clicca"
"Deactivate Now";"Disattiva Ora"
"Temporary Password";"Password Temporanea"
"System Information";"Informazioni di Sistema"
"Created By";"Creato Da"
"Karl Cases";"Karl Cases"
", 10/22/16 4:43 am";", 10/22/16 4:43"
"Last Modified By";"Ultima Modifica di"
"Save Changes";"Salva Modifiche"
Notes;Note
Title;Titolo
Message;Messaggio
Actions;Azioni
"About Paul Edward Borja and the Spaghetti";"About Paul Edward Borja and the Spaghetti"
"Last Modified: 10/22/16 4:51 am";"Ultima Modifica: 10/22/16 4:51"
View;Vedi
"New Notes";"Nuovi Note"
Placeholder;Segnaposto
"Enter product description here";"Inserisci qui la descrizione del prodotto"
Save;Salva
"Bank Account";"Conto Bancario"
"Enter your bank account title here";"Inserisci qui il titolo del tuo conto bancario"
"Enter your bank account number here";"Inserisci qui il numero del tuo conto bancario"
"Enter your bank account name here";"Inserisci qui il nome del tuo conto bancario"
"Are you sure you want to delete this bank account";"Sei sicuro di voler eliminare questo conto bancario"
Delete;Elimina
Log-out;Logout
English;Inglese
Chinese;Cinese
Canada;Canada
"Transactions List";"Lista Transazioni"
"Seller Pay-out";"Venditore Pay-out"
"Buyer Refund";"Rimborso Compratore"
"Buyer Refund History";"Storico Rimborso Compratore"
"Promo List";"Lista Promo"
"Seller Accreditation";"Accreditamento Venditore"
"Inhouse Products";"Prodotti Inhouse"
"Buyer List";"Lista Compratori"
"Seller/Affiliate List";"Lista Venditore / Affiliato"
"Product Listings";"Schede Prodotto"
Vouchers;Buoni
"Request Pay-Outs List";"Richiesta Lista Pay-out"
"Batch Pay-Out List";"Lista Batch Pay-Out "
Product;Prodotto
Notification;Notifica
"Mobile Web view (CMS)";"Visualizzazione da dispositivo mobile (CMS)"
"Daily Present";"Presente ogni giorno"
"Custom Messages";"Messaggi Personalizzati"
"Message here";"Messaggio qui"
"Inner Banners";"Banner Interni"
"Upload Banner";"Carica Banner"
"Select your Banner Permit file from your computer";"Seleziona il tuo file Permesso Banner dal tuo computer"
"Compatible files: JPEG and PNG";"File compatibili: JPEG e PNG"
"Banner URL";"URL Banner"
"Product CMS";"CMS Prodotto"
"Created Date/Time";"Data / Ora Creazione"
Creator;Creatore
Type;Tipo
"12/31/16, 3:00pm";"12/31/16, 15:00"
"George Paul";"George Paul"
"Homepage Row";"Fila Homepage"
"Hot Items";"Elementi Principali"
150;150
"Queued @ 12:00am";"In coda alle 12:00"
"Custom Page";"Pagina Personalizzata"
"Shop Wise";"Negozio"
Create;Crea
"Create Product CMS";"Crea Prodotto CMS"
"Product Title";"Titolo Prodotto"
"Enter Your Product Title";"Inserisci il Tuo Titolo di Prodotto"
"Upload Featured Banner (Homepage)";"Carica Banner Presentato"
"Upload Featured Banners (Homepage) here";"Carica qui Banner Presentato (Homepage)"
"Compatible files: JPEG, PNG and PDF";"File Compatibili: JPEG, PNG e PDF"
"Paste Featured Product (Homepage) Link here";"Incolla il Link del Prodotto Consigliato (Homepage) qui"
Image;Immagine
"Upload Featured Banner (Inner-Page)";"Carica Banner Consigliato (Pagina Interna)"
"Upload Featured Banners (Inner-Page) here";"Carica Banner Consigliati (Pagina Interna) qui"
"Paste Product Link (Inner-Page) here";"Incolla Link Prodotto (Pagina Interna) qui"
"Product List";"Lista Prodotto"
Clear;Cancella
"Add Products";"Aggiungi Prodotti"
"Date Created";"Data di Creazione"
"Product Name";"Nome Prodotto"
"Active Promo";"Promozione Attiva"
"Original Price";"Prezzo Originale"
"Discounted Price";"Prezzo Scontato"
"Available Stock";"Stock Disponibile"
"Product Sold";"Prodotto Venduto"
12/16/16;12/16/16
0.2;0.2
"PhP 21230";"PhP 21230"
"PhP 18930";"PhP 18930"
2003;2003
122;122
"By Checking this box";"Selezionando questa casella"
"Start the Process IMMEDIATELY";"Avvierai IMMEDIATAMENTE il Processo"
"Enter product list here";"Inserisci lista prodotto qui"
"Price Range:";"Fascia di Prezzo:"
Brands:;Marchi:
"Sort By:";"Ordina Per:"
Alphabetical;Alfabetico
"New to Old";"Dal più Recente al più Vecchio"
"Old to New";"Dal più Vecchio al più Recente"
Relevance;Rilevanza
Categories:;Categorie:
Status:;Stato:
Active;Attivo
Inactive;Inattivo
Manufacturer:;Produttore:
"Please click on the image you want to set as primary";"Fai clic sull'immagine che desideri impostare come principale"
Primary;Principale
Check;Verifica
Error;Errore
"Remove file";"Rimuovi file"
SKU;SKU
Width;Larghezza
Height;Altezza
Length;Lunghezza
Weight;Peso
Quantity;Quantità
"Regular Price";"Prezzo Regolare"
"Shipping fee";"Spese di spedizione"
"Retail Price";"Prezzo di Vendita al Dettaglio"
Commission;Commissione
Date;Data
"Promo Name";"Nome Promozione"
"Promo Discount";"Sconto Promozione"
42716;42716
"Perfect Purple Pair";"Perfect Purple Pair "
"Last Edit By";"Ultima Modifica Di"
"Time Stamp";"Timestamp"
"Chris Paul George";"Chris Paul George"
"Upload 5 Photos";"Carica 5 Foto"
"0.0833333333333333";"0.0833333333333333"
"Date Range:";"Intervallo di Date:"
"Start Date";"Data di Inizio"
"End Date";"Data di Fine"
"Quantity Sold";"Quantità venduta"
50;50
"Export to Excel";"Esporta in Excel"
"In-House Listings";"Annunci in-House"
Item;Articolo
Category;Categoria
Brand;Marchio
Brief;Breve
Details;Dettagli
Photos;Foto
Combinations;Combinazioni
"Reason of Approval";"Motivo di Approvazione"
Back;Indietro
"Reason of Rejection";"Motivo del Rifiuto"
[[Username]];[[Nome utente]]
Refund;Rimborso
"Order ID";"ID Ordine"
"Invoice No";"N. Fattura"
