"Access Denied";"เข้าถึงถูกปฏิเสธ"
"click here";"คลิกที่นี่"
Accreditation;ได้รับการรับรอง
"Business Information";"ข้อมูลทางธุรกิจ"
"Seller Type";"ประเภทผู้ขาย"
"Owner Name";"ชื่อเจ้าของ"
"Store Name";"ชื่อร้านค้า"
"Primary Address";"ที่อยู่หลัก"
"Other Address";"อื่น ๆ ที่อยู่"
"Contact Number";"หมายเลขติดต่อ"
"Application Status";"สถานะใบสมัคร"
You;คุณ
Submit;ส่ง
"Mark as Complete";"ทำเครื่องหมายเป็นเสร็จสมบูรณ์"
"Mark as Incomplete";"ทำเครื่องหมายว่าไม่สมบูรณ์"
"Bank Information";"ข้อมูลธนาคาร"
"Bank Name";"ชื่อธนาคาร"
"Account Title";"ชื่อเรื่องของบัญชี"
"Account Name";"ชื่อบัญชี"
"Account Number";"หมายเลขบัญชี"
"Legal Files";"แฟ้มตามกฎหมาย"
File;แฟ้ม
"Date Uploaded";"วันที่อัปโหลด"
Remarks;หมายเหตุ
"DTI/SEC Permit";"ใบอนุญาต DTI/SEC"
"Mayor's Permit";"ใบอนุญาตของนายกเทศมนตรี"
"BIR Permit";"ใบอนุญาต BIR"
"FORM MA11501 Permit";"แบบฟอร์มใบอนุญาต MA11501"
Others;ผู้อื่น
SSS;SSS
"PAG IBIG";"ปลายแห่งชาติ IBIG"
Postal;ไปรษณีย์
Passport;หนังสือเดินทาง
"Driver's License";"ใบอนุญาตขับขี่"
PRC;สาธารณรัฐประชาชนจีน
"Voter's ID";" ของต่อ ID"
"School ID";"ของโรงเรียน ID"
TIN;ดีบุก
"Valid ID";"รหัสถูกต้อง"
"Download this file";"ดาวน์โหลดแฟ้มนี้"
"Update Accreditation Type";"ชนิดของการรับรองการปรับปรุง"
Okay;โอเค
Accreditations;รับรองคุณภาพ
"Select Status";"เลือกสถานะ"
Search;ค้นหา
Status;สถานะ
"Quick Info";"ข้อมูลอย่างรวดเร็ว"
Name:;ชื่อ:
Phone:;โทรศัพท์:
Email:;อีเมล:
"Affiliate Accreditation";"พันธมิตรได้รับการรับรอง"
"Personal Information";"ข้อมูลส่วนบุคคล"
"Identification Document";"เอกสารประจำตัว"
Username;ชื่อผู้ใช้
Password;รหัสผ่าน
"Sign In";"เข้าสู่ระบบ"
"Manage Administrator";"จัดการดูแล"
"Register Administrator";"ลงทะเบียนผู้ดูแล"
"Enter Username here";"ป้อนชื่อผู้ใช้"
"Enter Password here";"ป้อนรหัสผ่านที่นี่"
"Change Password";"เปลี่ยนรหัสผ่าน"
"Confirm Password";"ยืนยันรหัสผ่าน"
"Enter Confirm Password here";"ป้อนรหัสผ่านที่ยืนยัน"
"First Name";"ชื่อแรก"
"Enter First name here";"ใส่ชื่อที่นี่"
"Last Name";"ชื่อสุดท้าย"
"Enter Last name here";"ใส่นามสกุลที่นี่"
"User Role";"บทบาทผู้ใช้"
"Select Role";"เลือกบทบาท"
Register;ลงทะเบียน
"Manage Roles";"จัดการบทบาท"
ID;รหัส
Fullname;ชื่อเต็มของ
Role;บทบาท
Activation;เปิดใช้งาน
"Enter your new password here";"ป้อนรหัสผ่านใหม่ที่นี่"
