"Access Denied";"Truy cập bị từ chối"
"click here";"Click vào đây"
Accreditation;Chứng nhận chất lượng
"Business Information";"Thông tin doanh nghiệp"
"Seller Type";"Người bán loại"
"Owner Name";"Tên chủ sở hữu"
"Store Name";"Tên cửa hàng"
"Primary Address";"Địa chỉ chính"
"Other Address";"Địa chỉ khác"
"Contact Number";"Số liên lạc"
"Application Status";"Tình trạng ứng dụng"
You;Bạn
Submit;Gửi
"Mark as Complete";"Đánh dấu là hoàn thành"
"Mark as Incomplete";"Đánh dấu là không đầy đủ"
"Bank Information";"Thông tin ngân hàng"
"Bank Name";"Tên ngân hàng"
"Account Title";"Tiêu đề tài khoản"
"Account Name";"Tên tài khoản"
"Account Number";"Số tài khoản"
"Legal Files";"Pháp lý các tập tin"
File;Tập tin
"Date Uploaded";"Ngày tải lên"
Remarks;Nhận xét
"DTI/SEC Permit";"Giấy phép DTI/SEC"
"Mayor's Permit";"Giấy phép của thị trưởng"
"BIR Permit";"BIR giấy phép"
"FORM MA11501 Permit";"MẪU MA11501 giấy phép"
Others;Những người khác
SSS;SSS
"PAG IBIG";"PAG IBIG"
Postal;Bưu chính
Passport;Hộ chiếu
"Driver's License";"Lái xe"
PRC;TRUNG QUỐC
"Voter's ID";"Của cử tri ID"
"School ID";"Trường ID"
TIN;THIẾC
"Valid ID";"ID hợp lệ"
"Download this file";"Tải tập tin này"
"Update Accreditation Type";"Cập Nhật công nhận loại"
Okay;Ok
Accreditations;Chứng nhận
"Select Status";"Chọn trạng thái"
Search;Tìm kiếm
Status;Tình trạng
"Quick Info";"Thông tin nhanh"
Name:;Tìm kiếm
Phone:;Tình trạng
Email:;Địa chỉ email:
"Affiliate Accreditation";"Liên kết công nhận"
"Personal Information";"Thông tin cá nhân"
"Identification Document";"Tài liệu nhận dạng"
Username;Tên người dùng
Password;Mật khẩu
"Sign In";"Đăng nhập"
"Manage Administrator";"Quản lý quản trị viên"
"Register Administrator";"Quản trị viên đăng ký"
"Enter Username here";"Nhập tên người dùng ở đây"
"Enter Password here";"Nhập mật khẩu ở đây"
"Change Password";"Thay đổi mật khẩu"
"Confirm Password";"Xác nhận mật khẩu"
"Enter Confirm Password here";"Nhập mật khẩu xác nhận ở đây"
"First Name";"Tên đầu tiên"
"Enter First name here";"Nhập tên đầu tiên ở đây"
"Last Name";"Tên cuối cùng"
"Enter Last name here";"Nhập đây"
"User Role";"Vai trò người dùng"
"Select Role";"Chọn vai trò"
Register;Đăng ký
"Manage Roles";"Quản lý vai trò"
ID;ID
Fullname;Họ và tên
Role;Vai trò
Activation;Kích hoạt
"Enter your new password here";"Nhập mật khẩu mới của bạn ở đây"
"Confirm your new password here";"Xác nhận mật khẩu mới của bạn ở đây"
Cancel;Hủy bỏ
"Manually Created Accounts";"Tự tạo tài khoản"
"Number of Manual Accounts: 227";"Số lượng tài khoản hướng dẫn sử dụng: 227"
"Search By Name / ID No. / Business Name";"Tìm kiếm theo tên / ID số / đặt tên doanh nghiệp"
"Accreditation Status:";"Trạng thái kiểm định chất lượng:"
Unaccredited;Unaccredited
Accredited;Được công nhận
All;Tất cả
"Created By:";"Tạo bởi:"
--;--
"George Paulino";"George Paulino"
"Ryan gVay";"Ryan gVay"
KarlDub;KarlDub
"Kevin the Nightstalker";"Kevin Nightstalker"
"Account Status:";"Trạng thái tài khoản:"
Activated;Kích hoạt
Locked;Bị khóa
"Create Account";"Tạo tài khoản"
"Customer ID";"ID khách hàng"
"Business Name";"Tên doanh nghiệp"
192;192
"Chris Bosh George";"Chris Bosh George"
"Burger Machine";"Burger máy"
Seller;Người bán
"Ronald McDonald Duck";"Ronald MacDonald Duck"
"McDonalds Fastfood";" MacDonalds  ăn nhanh "
Mechant;Mechant
"Casper Daprenlygosh";"Casper Daprenlygosh"
"Haus of Honor";"Haus of Honor"
Hybrid;Hỗn huyết
"Manual Creation List";"Hướng dẫn sử dụng tạo ra danh sách"
"Manual Creation Details";"Chi tiết hướng dẫn sử dụng sáng tạo"
"Account Details";"Chi tiết tài khoản"
"Account Notes";"Tài khoản ghi chú"
"Basic Information";"Thông tin cơ bản"
Affiliate;Liên kết
"Email Address";"Địa chỉ email"
"Mobile Number";"Số điện thoại di động"
"Address Information";"Thông tin địa chỉ"
Addresses;Địa chỉ
"&nbsp;";"&nbsp;"
Home;Trang chủ
"1234 Building Street 2 Street Subdivision Metro Manila Manila Barangay 2 ,566056";"1234 xây dựng Street 2 Phân ngành đường Metro Manila Manila Barangay 2, 566056"
"Bank Accounts";"Tài khoản ngân hàng"
2130909455677;2130909455677
"George Georgia";"George Georgia"
"Metrobank of the Borneo";"Metrobank ở Borneo"
"Accreditation Option";"Chứng nhận chất lượng tùy chọn"
"Accreditation Level";"Kiểm định chất lượng cấp"
"Level 1";"Cấp độ 1"
"Level 2";"Cấp độ 2"
"Level 3";"Cấp độ 3"
"Level 4";"Cấp độ 4"
"Activate this Account?";"Kích hoạt tài khoản này?"
Activate;Kích hoạt
"This Account is Active";"Tài khoản này là hoạt động"
"If you wish to deactivate this account, click";"Nếu bạn muốn vô hiệu hóa tài khoản này, hãy nhấp vào"
"Deactivate Now";"Tắt bây giờ"
"Temporary Password";"Mật khẩu tạm thời"
"System Information";"Hệ thống thông tin"
"Created By";"Tạo bởi"
"Karl Cases";" Karl Trường hợp"
", 10/22/16 4:43 am";", 10/22/16 4:43 am"
"Last Modified By";"Lần cuối bởi"
"Save Changes";"Lưu thay đổi"
Notes;Ghi chú
Title;Tiêu đề
Message;Tin nhắn
Actions;Hành động
"About Paul Edward Borja and the Spaghetti";"Về Paul Edward Borja và Spaghetti"
"Last Modified: 10/22/16 4:51 am";"Sửa đổi lần cuối: 10/22/16 4:51 am"
View;Xem
"New Notes";"New ghi chú"
Placeholder;Giữ chỗ
