"Le jeton CSRF est non valide. S'il vous plaît essayer de renvoyer le formulaire."; "S'il vous plaît, actualisez la page et essayez à nouveau. Votre session de la page a expiré."
"Jeton non valide CSRF."; "S'il vous plaît, actualisez la page et essayez à nouveau. Votre session de la page a expiré."
From;De
To;À
"Terms and Conditions";"Termes et Conditions"
"Have read the";"Avoir lu le"
"Privacy Policy";"Politique de confidentialité"
"""";""""
Register;S'inscrire
here;voilà
"terms and conditions";"termes et conditions"
"this link";"ce lien"
"Forgot Password";"Mot de passe oublié"
"Contact Us";"Contactez-nous"
"Cash on Delivery (COD) â€?pay for your product/s once it is delivered at your doorstep";"Paiement à la livraison (COD) â €? payer pour votre produit/s une fois qu'il est livré à votre porte"
"Credit Card or Debit Card â€?pay for your product/s online";"Carte de crédit ou de débit â €? payer pour votre produit/s en ligne"
"&larr previous";"& larr précédent"
"next &rarr";"suivant & rarr"
"Account Deactivation";"Désactivation du compte"
"&nbsp";"& nbsp"
"Password Reset";"Réinitialisation de mot de passe"
"YiLinker Online";"YiLinker en ligne"
"Verify your email";"Vérifiez votre email"
"Thank you and Welcome";"Merci et Bienvenue"
"On-Hold Accreditation";"En attente d'accréditation"
"Click here to edit";"Cliquez ici pour modifier"
Hi;Salut
"Scan this code";"Scannez ce code"
OR;OU
link;lien
"Congratulations on verifying your account with";"Félicitations sur la vérification de votre compte avec"
!;!
"Verified Accreditation";"Accréditation Vérifiée"
"Click here";"Cliquez ici"
Yilinker;Yilinker
DETAILS;DÉTAILS
ITEMS;ÉLÉMENTS
Error;Erreur
404;404
"&#8594";"& #8594"
Whoops!;Oups !
captcha;captcha
"Set this shipping address to default";"Affectez cette adresse de livraison par défaut"
Cancel;Annuler
Submit;Envoyer
"Are you sure you want to delete this conversation?";"Êtes-vous sûr de que vouloir supprimer cette conversation ?"
Delete;Supprimer
Okay;OK
"Search the name of contact here";"Recherchez le nom de contact ici"
"Delete Thread";"Supprimer le Thread"
"Attach Image";"Fixez l'Image"
"Type your message";"Tapez votre message"
Send;Envoyer
Sending;Envoi
"Send Message";"Envoyer Message"
"Enter your message here";"Entrez votre message ici"
"Recent Messages";"Messages récents"
"One Time Password";"One Time Password"
"Contact #";"Contact #"
Type;Type de
Date;Date
Code;Code
"Delivery Log";"De livraison Log"
"Package :";"Paquet :"
"Items :";"Articles :"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Tour de Marc de 2000, San Andres St, Malate, Manille, Manille"
"Cancel Order";"Annuler commande"
"Select item to cancel:";"Sélectionnez l'élément pour annuler :"
Back;Précédent
No;Non
Yes;Oui
"Forgot Password?";"Mot de passe oublié ?"
"You will receive a confirmation email or SMS message where you can reset your password";"Vous recevrez un email de confirmation ou un message SMS où vous pouvez réinitialiser votre mot de passe"
"Please wait";"Veuillez patienter"
"Back to sign in";"Retour à se connecter"
Philippines;Philippines
China;La Chine
"Contact Number*";"Numéro de contact*"
Verify;Vérifier
0;0
"Confirmation Code*";"Code de confirmation*"
Password*;Mot de passe*
"Confirm your password*";"Confirmez votre mot de passe*"
"Referral Code";"Code de parrainage"
"Register now";"Inscrivez-vous dès maintenant"
