"CSRF token tidak sah. Sila cuba menghantar semula borang.";" Sila segarkan semula halaman dan cuba lagi. Laman sesi anda telah tamat tempoh."
"Tanda tidak sah CSRF.; "" Sila segarkan semula halaman dan cuba lagi. Laman sesi anda telah tamat tempoh."
From;Dari
To;Untuk
"Terms and Conditions";"Terma dan syarat"
"Have read the";"Telah membaca di"
"Privacy Policy";"Dasar privasi"
"""";""""
Register;Mendaftar
here;di sini
"terms and conditions";"Terma dan syarat"
"this link";"Pautan ini"
"Forgot Password";"Lupa kata laluan"
"Contact Us";"Hubungi kami"
"Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep";"Bayaran tunai semasa penghantaran (COD) â €? membayar untuk anda produk/s apabila ia dihantar di depan pintu anda"
"Credit Card or Debit Card 鈥?pay for your product/s online";"Kad kredit atau Kad Debit â €? membayar untuk anda produk/s online"
"&larr; previous";"&larr; sebelumnya"
"next &rarr;";"seterusnya &rarr;"
"Account Deactivation";"Akaun penyahaktifan"
"&nbsp;";"&nbsp;"
"Password Reset";"Set semula kata laluan"
"YiLinker Online";"YiLinker Online"
"Verify your email";"Sahkan e-mel anda"
"Thank you and Welcome";"Terima kasih dan mengalu-alukan"
"On-Hold Accreditation";"Akreditasi pada mengadakan"
"Click here to edit";"Klik di sini untuk mengedit"
"Hi,;Hi,"
"Scan this code";"Imbas Kod ini"
OR;ATAU
link;Pautan
"Congratulations on verifying your account with";"Tahniah atas mengesahkan akaun anda dengan"
!;!
"Verified Accreditation";"Akreditasi yang disahkan"
"Click here";"Klik di sini"
Yilinker;Yilinker
DETAILS;BUTIR
ITEMS;ITEM
Error;Ralat
404;404
"&#8594;";"& #8594;"
Whoops!;Whoops!
captcha;captcha
"Set this shipping address to default";"Bakal alamat penghantaran ini lalai"
Cancel;Batal
Submit;Mengemukakan
"Are you sure you want to delete this conversation?";"Adakah anda pasti anda mahu menghapus perbualan ini?"
Delete;Hapus
Okay;Okay
"Search the name of contact here";"Mencari nama orang hubungan di sini"
"Delete Thread";"Menghapuskan benang"
"Attach Image";"Sertakan imej"
"Type your message";"Taipkan mesej anda"
Send;Hantar
Sending;Menghantar
"Send Message";"Menghantar mesej"
"Enter your message here";"Masukkan mesej anda di sini"
"Recent Messages";"Mesej terbaru"
"One Time Password";"Satu kata-laluan masa"
"Contact #";"Hubungi #"
Type;Jenis
Date;Tarikh
Code;Kod
"Delivery Log";"Log penghantaran"
"Package :";"Pakej:"
"Items :";"Item:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"MARC 2000 Tower, San Andres St, Bilik, Manila, Metro Manila"
"Cancel Order";"Batalkan Ketenteraman"
"Select item to cancel:";"Pilih item untuk membatalkan:"
Back;Belakang
No;tidak
Yes;Ya
"Forgot Password?";"Terlupa kata laluan?"
"You will receive a confirmation email or SMS message where you can reset your password";"Anda akan menerima emel pengesahan atau SMS mesej di mana anda boleh menetapkan semula kata laluan anda"
"Please wait";"sila tunggu"
"Back to sign in";"Kembali untuk mendaftar masuk"
Philippines;Filipina
China;China
"Contact Number*";"Telefon Nombor*"
Verify;Mengesahkan
00:00;0:00
"Confirmation Code*";"Kod pengesahan *"
Password*;Kata laluan *
"Confirm your password*";"Sahkan kata laluan anda *"
"Referral Code";"Kod rujukan"
"Register now";"Daftar sekarang"
