“CSRF တိုကင္သည္ မခိုင္မာပါ။ ေဖာင္ကို ျပန္လည္ ထည့္သြင္းရန္ ေက်းဇူးျပဳ၍ ၾကိဳးစာပါ၊ “;"ေက်းဇူးျပဳ၍ စာမ်က္ႏွာကို ျပန္လည္စတင္၍ ထပ္မံၾကိဳးစားပါ။ သင့္ စာမ်က္ႏွာ က႑သည္ သတ္မွတ္ခ်ိန္ထက္ ေက်ာ္လြန္သြားပါျပီ။"
“မခိုင္မာေသာ CSRF တိုကင္။ “;"ေက်းဇူးျပဳ၍ စာမ်က္ႏွာကို ျပန္လည္စတင္၍ ထပ္မံၾကိဳးစားပါ။ သင့္ စာမ်က္ႏွာ က႑သည္ သတ္မွတ္ခ်ိန္ထက္ ေက်ာ္လြန္သြားပါျပီ။"
From;မွ
To;သို႔
"Terms and Conditions";"စည္းမ်ဥ္းစည္းကမ္းမ်ား"
"Have read the";"ဖတ္ျပီးပါျပီ"
"Privacy Policy";"ကိုယ္ေရးအခ်က္အလက္ လုံျခံဳေရး မူဝါဒ"
"""";""""
Register;မွတ္ပုံတင္ပါ
here;ဤေနရာတြင္
"terms and conditions";"စည္းမ်ဥ္းစည္းကမ္းမ်ား"
"this link";"ဤလင့္ခ္"
"Forgot Password";"စကားဝွက္ေမ့သြားပါသည္"
"Contact Us";"ကၽြန္ုပ္တို႔ကို ဆက္သြယ္ပါ"
"Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep";"သင့္ေနရာသို႔ ပစၥည္း ေပးပို႔သည္ႏွင့္ ကုန္ပစၥည္း/မ်ားအတြက္ ကုန္က်ေငြကို ေပးပို႔သည့္အခ်ိန္တြင္ (COD) ေပးေဆာင္ရပါမည္။"
"Credit Card or Debit Card 鈥?pay for your product/s online";"သင့္ ကုန္ပစၥည္း/မ်ားအတြက္ အြန္လိုင္းမွ ၾကိဳတင္ေငြေပးေခ်ကတ္ သို႔မဟုတ္ ေငြေခ်းကတ္မ်ားျဖင့္ ေပးေဆာင္ႏိုင္ပါသည္"
"&larr; previous";"&larr; ေရွ႕"
"next &rarr;";"ေနာက္ &rarr;"
"Account Deactivation";"အေကာင့္ သက္ဝင္လုပ္ေဆာင္မႈ ရပ္တန္႔ျခင္း"
"&nbsp;";"&nbsp;"
"Password Reset";"စကားဝွက္အား ျပန္လည္ သတ္မွတ္ပါ"
"YiLinker Online";"YiLinker အြန္လိုင္း"
"Verify your email";"သင့္အီးေမးလ္အား အတည္ျပဳပါ"
"Thank you and Welcome";"ေက်းဇူးတင္ပါတယ္ ၾကိဳဆိုပါတယ္"
"On-Hold Accreditation";"လုပ္ေဆာင္မႈ ေစာင့္ဆိုင္းဆဲ တရားဝင္ အသိအမွတ္ျပဳမႈ"
"Click here to edit";"တည္းျဖတ္ရန္ ဤေနရာကို ႏွိပ္ပါ"
Hi,;ဟိုင္း,
"Scan this code";"ဤကုဒ္ကို စကင္န္ဖတ္ပါ"
OR;သို႔မဟုတ္ 
link;လင့္ခ္
"Congratulations on verifying your account with";"သင့္အေကာင့္အား အတည္ျပဳသည့္အတြက္ ဂုဏ္ယူပါတယ္"
!;!
"Verified Accreditation";"အတည္ျပဳထားေသာ တရားဝင္ အသိအမွတ္ျပဳမႈ"
"Click here";"ဤေနရာကို ႏွိပ္ပါ"
Yilinker;Yilinker
DETAILS;အေသးစိတ္
ITEMS;ကုန္ပစၥည္းမ်ား
Error;ခ်ဳိ႔ယြင္းခ်က္
404;404
"&#8594;";"&#8594;"
Whoops!;အိုး!
captcha;ကပ္တ္ခ်ာ
"Set this shipping address to default";"ဤပို႔ေဆာင္ရန္ လိပ္စာကို ပုံေသ သတ္မွတ္ပါ"
Cancel;ပယ္ဖ်က္ပါ
Submit;ထည့္သြင္းပါ
"Are you sure you want to delete this conversation?";"ဤစာေၾကာင္းအား ဖ်က္ပစ္လိုသည္မွာ ေသခ်ာပါသလား။"
Delete;ဖ်က္ပါ
Okay;အိုေက
"Search the name of contact here";"ဤေနရာတြင္ ဆက္သြယ္ရမည့္ အမည္ကို ရွာပါ"
"Delete Thread";"ဆက္လက္ျဖစ္ေပၚမႈကို ဖ်က္ပါ"
"Attach Image";"ပုံကို တြဲခ်ိတ္ပါ"
"Type your message";"သင့္မက္ေဆ့ဂ်္ကို ရိုက္ထည့္ပါ"
Send;ေပးပို႔ပါ
Sending;ေပးပို႔ေနသည္
"Send Message";"မက္ေဆ့ဂ်္ကို ေပးပို႕ပါ"
"Enter your message here";"သင့္မက္ေဆ့ဂ်္ကို ဤေနရာတြင္ ရိုက္ထည့္ပါ"
"Recent Messages";"မၾကာေသးမီက မက္ေဆ့ဂ်္"
"One Time Password";"တစ္ၾကိမ္သုံး စကားဝွက္"
"Contact #";"ဆက္သြယ္ရန္ #"
Type;အမ်ဳိးအစား
Date;ေန႔ရက္
Code;ကုဒ္
"Delivery Log";"ေပးပို႕မႈ စာရင္း"
"Package :";"ပက္ေက့ဂ်္ :"
"Items :";"ကုန္ပစၥည္းမ်ား :"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"ေအာ္ဒါကို ပယ္ဖ်က္ပါ"
"Select item to cancel:";"ပယ္ဖ်က္ရန္ ကုန္ပစၥည္းကို ေရြးခ်ယ္ပါ :"
Back;ေနာက္
No;မွား
Yes;မွန္
"Forgot Password?";"စကားဝွက္ေမ့သြားပါသလား။"
"You will receive a confirmation email or SMS message where you can reset your password";"သင္သည္ သင့္စကားဝွက္အား ျပန္လည္သတ္မွတ္ႏိုင္သည့္ အတည္ျပဳ အီးေမးလ္ သို႔မဟုတ္ SMS မက္ေဆ့ဂ်္ကို ရရွိပါလိမ့္မည္"
"Please wait";"ေက်းဇူးျပဳ၍ ေစာင့္ပါ"
"Back to sign in";"ဝင္ရန္ ျပန္သြားပါ"
Philippines;ဖိလစ္ပိုင္
China;တရုတ္
"Contact Number*";"ဆက္သြယ္ရန္ နံပါတ္*"
Verify;အတည္ျပဳပါ
00:00;0:00
"Confirmation Code*";"အတည္ျပဳကုဒ္*"
Password*;စကားဝွက္*
"Confirm your password*";"သင့္စကားဝွက္ကို အတည္ျပဳပါ*"
"Referral Code";"အညႊန္းကုဒ္"
"Register now";"ယခုပင္ မွတ္ပုံတင္ပါ"
