"O token CSRF é inválido. Por favor, tente voltar a enviar o formulário.";"Por favor, atualize a página e tente novamente. A sua sessão de página expirou."
"Token CSRF inválido.";"Por favor, atualize a página e tente novamente. A sua sessão de página expirou."
From;De
To;Para
"Terms and Conditions";"Termos e Condições"
"Have read the";"Li a"
"Privacy Policy";"Política de Privacidade"
"""";""""
Register;Registar
here;aqui
"terms and conditions";"termos e condições"
"this link";"esta ligação"
"Forgot Password";"esquecer palavra-passe"
"Contact Us";"Contacte-nos"
"Cash on Delivery (COD) â€?pay for your product/s once it is delivered at your doorstep";"Pagamento Contra Entrega (COD)â€? pague os seus produtos quando forem entregues à sua porta"
"Credit Card or Debit Card â€?pay for your product/s online";"Cartão de crédito ou de débitoâ€? Pague os seus produtos on-line"
"&larr previous";"&larr anterior"
"next &rarr";"seguinte &rarr"
"Account Deactivation";"Desativação de conta"
"&nbsp";"&nbsp"
"Password Reset";"Restaurar palavra-passe"
"YiLinker Online";"YiLinker Online"
"Verify your email";"Verifique o seu email"
"Thank you and Welcome";"Obrigado e Bem-Vindo"
"On-Hold Accreditation";"Acreditação suspensa"
"Click here to edit";"Clique aqui para editar"
Hi;Olá
"Scan this code";"Digitalize este código"
OR;OU
link;ligação
"Congratulations on verifying your account with";"Parabéns por verificar a sua conta com"
!;!
"Verified Accreditation";"Acreditação verificada"
"Click here";"Clique aqui"
Yilinker;Yilinker
DETAILS;DETALHES
ITEMS;ITENS
Error;Erro
404;404
"&#8594";"&#8594"
Whoops!;Ops!
captcha;captcha
"Set this shipping address to default";"Definir este endereço de envio como padrão"
Cancel;Cancelar
Submit;Enviar
"Are you sure you want to delete this conversation?";"Tem a certeza que pretende apagar esta conversa?"
Delete;Apagar
Okay;Okey
"Search the name of contact here";"Pesquisar o nome do contacto aqui"
"Delete Thread";"Apagar o Thread"
"Attach Image";"Anexar imagem"
"Type your message";"Escreva a sua mensagem"
Send;Enviar
Sending;A enviar
"Send Message";"Enviar mensagem"
"Enter your message here";"Insira a sua mensagem aqui"
"Recent Messages";"Mensagens recentes"
"One Time Password";"Palavra-passe única"
"Contact #";"Contacto #"
Type;Tipo
Date;Data
Code;Código
"Delivery Log";"Registo de entrega "
"Package :";"Pacote:"
"Items :";"Itens:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila"
"Cancel Order";"Cancelar pedido"
"Select item to cancel:";"Selecione o item a cancelar:"
Back;Voltar
No;Não
Yes;Sim
"Forgot Password?";"Esqueceu a palavra-passe?"
"You will receive a confirmation email or SMS message where you can reset your password";"Receberá uma confirmação por email ou mensagem SMS, para poder redefinir a sua palavra-passe"
"Please wait";"Aguarde"
"Back to sign in";"Voltar a iniciar sessão"
Philippines;Filipinas
China;China
"Contact Number*";"Número de contacto*"
Verify;Verificar
0;0
"Confirmation Code*";"Código de confirmação*"
Password*;Palavra-passe*
"Confirm your password*";"Confirme a sua palavra-passe*"
"Referral Code";"Código de referência"
"Register now";"Registe-se agora"
