"CSRF โทเค็นไม่ถูกต้อง ลองส่งแบบ."; " กรุณารีเฟรชหน้า แล้วลองอีกครั้ง เซสชันการหน้าของคุณหมดอายุ"
โทเค็นไม่ถูกต้อง CSRF."; " กรุณารีเฟรชหน้า แล้วลองอีกครั้ง เซสชันการหน้าของคุณหมดอายุ"
From;จาก
To;ถึง
"Terms and Conditions";"ข้อกำหนดและเงื่อนไข"
"Have read the";"ได้อ่านการ"
"Privacy Policy";"นโยบายการเก็บข้อมูลส่วนบุคคล"
"""";""""
Register;ลงทะเบียน
here;ที่นี่
"terms and conditions";"ข้อกำหนดและเงื่อนไข"
"this link";"การเชื่อมโยงนี้"
"Forgot Password";"ลืมรหัสผ่าน"
"Contact Us";"ติดต่อเรา"
"Cash on Delivery (COD) 鈥?pay for your product/s once it is delivered at your doorstep";"เงินสดในการจัดส่งสินค้า (COD) â €? ชำระค่าของ ผลิตภัณฑ์/s เมื่อมีส่งที่"
"Credit Card or Debit Card 鈥?pay for your product/s online";"บัตรเครดิตหรือบัตรเดบิตâ €? ชำระค่าของ ผลิตภัณฑ์/s ออนไลน์"
"&larr; previous";"และ larr; ก่อนหน้านี้"
"next &rarr;";"ถัดไปและ rarr;"
"Account Deactivation";"ปิดใช้งานบัญชี"
"&nbsp;";"เพอร์ ฟูม nbsp;"
"Password Reset";"รีเซ็ตรหัสผ่าน"
"YiLinker Online";"YiLinker ออนไลน์"
"Verify your email";"ตรวจสอบอีเมลของคุณ"
"Thank you and Welcome";"ขอบคุณ และยินดีต้อนรับ"
"On-Hold Accreditation";"รับรองไว้"
"Click here to edit";"คลิกที่นี่เพื่อแก้ไข"
Hi,;สวัสดี
"Scan this code";"สแกนรหัสนี้"
OR;หรือ
link;การเชื่อมโยง
"Congratulations on verifying your account with";"ขอแสดงความยินดีในการตรวจสอบกับบัญชีของคุณ"
!;!
"Verified Accreditation";"ตรวจสอบรับรอง"
"Click here";"คลิกที่นี่"
Yilinker;Yilinker
DETAILS;รายละเอียด
ITEMS;รายการ
Error;ข้อผิดพลาด
404;404
"&#8594;";"&#8594;"
Whoops!;ขออภัย
captcha;captcha
"Set this shipping address to default";"กำหนดค่าเริ่มต้นนี้ที่อยู่ที่จัดส่ง"
Cancel;ยกเลิก
Submit;ส่ง
"Are you sure you want to delete this conversation?";"คุณต้องการลบการสนทนานี้แน่ใจหรือไม่"
Delete;ลบ
Okay;โอเค
"Search the name of contact here";"ค้นหาชื่อของที่ติดต่อที่นี่"
"Delete Thread";"ลบหัวข้อ"
"Attach Image";"แนบรูปภาพ"
"Type your message";"พิมพ์ข้อความ"
Send;ส่ง
Sending;ส่ง
"Send Message";"ส่งข้อความ"
"Enter your message here";"ข้อความที่นี่"
"Recent Messages";"ข้อความล่าสุด"
"One Time Password";"รหัสผ่านครั้งเดียว"
"Contact #";"ติดต่อ#"
Type;ชนิด
Date;วัน
Code;รหัส
"Delivery Log";"บันทึกการจัดส่ง"
"Package :";"แพคเกจ:"
"Items :";"รายการ:"
"Marc 2000 Tower, San Andres St, Malate, Manila, Metro Manila";"ทาวเวอร์มาร์ค 2000 ซานแอนเดรสเซนต์ มาลาเต มะนิลา เมโทรมะนิลา"
"Cancel Order";"ยกเลิกใบสั่ง"
"Select item to cancel:";"เลือกรายการยกเลิก:"
Back;ย้อนกลับ
No;ไม่ใช่
Yes;ใช่
"Forgot Password?";"ลืมรหัสผ่าน"
"You will receive a confirmation email or SMS message where you can reset your password";"คุณจะได้รับอีเมลล์ยืนยันหรือ SMS ข้อความที่คุณสามารถตั้งค่ารหัสผ่านของคุณ"
"Please wait";"กรุณารอสักครู่"
"Back to sign in";"เข้าสู่"
Philippines;ฟิลิปปินส์
China;จีน
"Contact Number*";"ติดต่อหมายเลข *"
Verify;ตรวจสอบ
00:00;0:00
"Confirmation Code*";"รหัสยืนยัน *"
Password*;รหัสผ่าน *
"Confirm your password*";"ยืนยันรหัสผ่าน *"
"Referral Code";"รหัสอ้างอิง"
"Register now";"ลงทะเบียนตอนนี้"
