"Women Clothing";"Damen Bekleidung"
"&rarr";"& rarr"
"Men Clothing";"Herren Bekleidung"
Shoes;Schuhe
"Bags &amp Accessories";"Taschen & Amp Zubehör"
Electronics;Elektronik
"Kids &amp Babies";"Kinder & Amp Babys"
"Jewellery &amp Accessories";"Schmuck & Amp Zubehör"
"Sports &amp Outdoors";"Sport & Amp Outdoors"
"Health &amp Beauty";"Gesundheit & Amp Beauty"
"Home, Garden &amp Office";"Haus, Garten & Amp Office"
Dress;Kleid
Topwear;Topwear
Pants;Hosen
Fashion;Mode
Underclothes;Unterwäsche
"Product Name";"Produktname"
Jacket;Jacke
Suits;Anzüge
T-shirt;T-Shirt
Polo;Polo
"Pants &amp Jeans";"Hosen & Amp Jeans"
Sweater;Pullover
Underwear;Unterwäsche
"Women's Shoes";"Schuhe Damen"
"Men's Shoes";"Schuhe für Herren"
Slippers;Hausschuhe
Boots;Stiefel
"Work Shoes";"Arbeit Schuhe"
"Women's Bag";"Damen Tasche"
"Men's Bag";"Herren Tasche"
"Luggage &amp Travel Gear";"Gepäck & Amp Travel Gear"
"Women's Accessories";"Damen Accessoires"
"Men's Accessories";"Herrenaccessoires"
"Cell Phone";"Mobil"
"Camera, Photo &amp Video";"Kamera, Foto & Amp Video"
"Computer &amp Laptop";"Computer & Amp Laptop"
"Wearable Technology";"Wearable Technologie"
"Electronics Accessories";"Elektronik-Zubehör"
"Kids Clothing";"Kinderkleidung"
"Kids Shoes";"Kinder Schuhe"
Toys;Spielzeug
"Babies Gear";"Baby Gear"
"Maternity Care";"Mutterschaft Pflege"
Watch;Uhren
Jewellery;Schmuck
Glasses;Brille
"Hair Ornament";"Haar-Ornament"
"Other Accessories";"Sonstiges Zubehör"
"Sport Clothing";"Sport-Bekleidung"
"Sport Shoes";"Sportschuhe"
"Sport Equipment";"Sportgeräte"
Outdoors;Im freien
"Dance &amp";"Tanz & amp"
"Sports Accessories";"Sportarten Zubehör"
"Skin Care";"Hautpflege"
Makeup;Aufmachung
"Men's Care";"Männerpflege"
"Personal Care";"Persönliche Betreuung"
"Health Care";"Gesundheitsversorgung"
Furniture;Möbel
Appliance;Einheit
"Home Decor";"Haus Dekor"
"Bed &amp Bath";"Bad Bett & amp"
"Kitchen &amp Dining";"Küche & Amp Dining"
"Window Treatments";"Fenster Behandlungen"
"Tools &amp Hardware";"Werkzeuge & Amp Hardware"
Stationery;Schreibwaren
"You have";"Sie haben"
"on your shopping cart";"in Ihrem Warenkorb"
"Payment Method";"Zahlungsmethode"
Total;Insgesamt
"Continue Shopping";"Weiter einkaufen"
"Proceed to Checkout";"Zur Kasse"
"&nbsp";"& nbsp"
"Schonning Watch (red, metal, large)";"Schonning Watch (rot, Metall, groß)"
"Schonning Watch";"Schonning Watch"
Size;Größe
Color;Farbe
Metal;Metall
"Philips Series 500";"Philips Serie 500"
Subtotal;Teilergebnis
"Shipping Fee";"Versandkosten"
Free;Kostenlose
"(Metro Manila only)";"(Nur für Metro Manila)"
Small;Klein
Red;Rot
Steel;Stahl
"Add to Cart";"In den Warenkorb"
"Powered by:";"Powered by:"
"To Do business";"Geschäfte machen"
"Login as seller";"Melden Sie sich als Verkäufer"
"Login as affiliate";"Anmeldung als affiliate"
"Help &amp Support";"Hilfe & Amp Support"
"Your account";"Ihr Konto"
"Your order";"Ihre Bestellung"
"Resolution Center";"Auflösung-Center"
Complaints;Beschwerden
"Privacy Policy";"Datenschutz"
"Contact Us";"Kontaktieren Sie uns"
"Related Links";"Links zum Thema"
"Download our app";"Laden Sie unsere app"
"Download our app (via QR Code)";"Laden Sie unsere app (per QR-Code)"
"for apple";"für apple"
"for android";"für android"
"Email Newsletter";"E-Mail-Newsletter"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Das Wort raus. Stellen Sie sicher, dass Sie interessante Veranstaltungen, Verkauf und mehr durch die Beteiligung an unserem Newsletter-Programm verpasst nicht."
Subscribe;Abonnieren
"&copy 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"& 2015 YiLinker zu kopieren. Eingetragene Warenzeichen und Marken sind Eigentum ihrer jeweiligen Inhaber."
FAQ;Häufig gestellte Fragen
"Shipping &amp delivery";"Versand & Amp Lieferung"
"Return Policy";"Rückgabebedingungen"
"Terms of use";"Nutzungsbedingungen"
"Contact us";"Kontaktieren Sie uns"
Payment;Zahlung
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Das Wort raus. Stellen Sie sicher, dass Sie interessante Veranstaltungen, Verkauf und mehr durch die Beteiligung an unserem Newsletter-Programm nicht vermissen."
"Your current browser was developed over a decade ago,";"Ihres aktuellen Browsers wurde vor über einem Jahrzehnt entwickelt,"
"its like watching TV in black and white in 2015!";"Es ist wie im Jahr 2015, gerade in schwarz und weiß!"
"Please view the website in one of these modern browsers";"Bitte lesen Sie die Webseite in einen dieser modernen Browser"
download;Download
"google chrome";"Google Chrome"
"mozilla firefox";"Mozilla firefox"
"apple safari";"Apple-safari"
Categories;Kategorien
Search...;Suche...
"Suggested Search";"Suche vorgeschlagen"
"(eg. mobile, dress, toys, etc...)";"(zB. Handy, Kleidung, Spielzeug usw...)"
English;Englisch
Chinese;Chinesisch
Canada;Kanada
"For Android";"Für Android"
"For IOS";"Für IOS"
"on your wishlist";"auf der Wunschliste"
"0 items";"0Artikel"
"on your cart";"auf Ihr Warenkorb"
"Account Management";"Account-Management"
Settings;Einstellungen
Messages;Nachrichten
Help;Hilfe
Logout;Logout
Sign-Up;Sign-up
Log-In;Einloggen
"Filter Area:";"Filterbereich:"
Sub-Category;Unter-Kategorie
All;Alle
Price;Preis
"Price Range";"Preisklasse"
Brand;Marke
"More Filter";"Weitere Filter"
"Sort By:";"Sortieren nach:"
Relevance;Relevanz
"New to Old";"Neu auf alt"
"Old to New";"Alt auf neu"
Alphabetical;Alphabetische
Popularity;Popularität
of;der
"View By:";"Anzeigen:"
"Add to cart";"Warenkorb"
"You have 0 items on your wishlist";"Sie haben 0 Artikel auf Ihrer Wunschliste"
"All Categories";"Alle Kategorien"
Home;Startseite
"Sub Category:";"Unterkategorie:"
More;Mehr
Less;Weniger
"view more";"mehr anzeigen"
"Edit Address";"Adresse bearbeiten"
"Delete Address";"Adresse löschen"
"See More";"Sehen Sie mehr"
"Ship To";"Ship To"
"New Address";"Neue Adresse"
Proceed;Gehen Sie
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"Guest-Checkout können Sie von unserer Website zu kaufen, selbst wenn Sie sind nicht registriert. Nach Ihrem Kauf abgeschlossen ist, müssen Sie noch die Möglichkeit, für ein Konto registrieren."
"Verify Number";"Überprüfen Sie die Anzahl"
"Verification code has been successfully resent";"Bestätigungs-Code wurde erfolgreich erneut gesendet"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Sie sind dabei, Ihre Telefonnummer ändern, stellen Sie sicher, dass Ihr Mobiltelefon in Reichweite ist, bevor Sie diesen Schritt ausführen."
"Please enter the 6 digit code that was sent to your mobile phone";"Bitte geben Sie den 6-stelligen Code, der an Ihr Mobiltelefon gesendet wurde"
"Time Left:";"Zeit verließ:"
0;0
"Enter Code";"Code eingeben"
"Enter your verification code";"Geben Sie Ihren Bestätigungscode"
Cancel;Abbrechen
"Resend Code";"Code erneut senden"
"Verify and Continue";"Überprüfen und weiter"
"Checkout Type";"Kasse-Typ"
Summary;Zusammenfassung
Overview;Übersicht
Email/Mobile;E-Mail/Mobil
"Enter your email/mobile here";"Geben Sie hier Ihre e-Mail/mobile"
Password;Passwort
"Enter your password here";"Geben Sie Ihr Passwort hier"
"Sign In &amp";"Anmeldung bei & Amp"
"or sign in with";"oder melden Sie in mit"
Facebook;Facebook
Google+;Google +
"Order Summary";"Bestellungsübersicht"
"Grand Total";"Gesamtsumme"
"Voucher Deduction";"Gutschein-Abzug"
"There are no items to checkout.";"Es gibt keine Elemente zur Kasse."
"Go back to checkout";"Zurück zur Kasse gehen"
Congratulations;Herzlichen Glückwunsch
"Your purchase was a success";"Kaufdatum war ein Erfolg"
"Want to buy more items similar to this?";"Weitere Artikel wie diese kaufen wollen?"
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"Herzlichen Glückwunsch zu einem erfolgreichen Kauf! Während des Wartens auf Ihr Produkt zu gelangen, empfehlen wir, beim Auschecken andere Verwandte Produkte, die Sie gerade gekauft haben."
"View Transaction";"Ansicht-Transaktion"
or;oder
"Would you like to register an account?";"Möchten Sie ein neues Benutzerkonto registrieren?"
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"YiLinker, basierend auf den Informationen, den Sie in Ihrer Bestellung angegeben haben, bereits Ihre grundlegenden Informationen, der benötigt wird, in Ihre Anmeldung. Wenn Sie sich auf unserer Website erhalten Sie weitere spannende Neuigkeiten über unsere bevorstehende Produkte & anderen Promos registrieren möchten, geben Sie einfach Ihr Passwort und du bist fertig."
"Sign Up Now";"Melden Sie sich jetzt"
"Consignee Name:";"Empfänger Namen:"
"Justine Carl Duazo";"Justine Carl Duazo"
"Full Address:";"Vollständige Anschrift:"
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6f fünf E-com Tower, Pacific Drive, Mall von Asien-Komplex, Pasay Stadt"
"Mobile Number:";"Handynummer:"
9271234567;9271234567
"City/ Municipality:";"Stadt/Gemeinde:"
Manila;Manila
"Transaction Details";"Angaben zur Transaktion"
"Transaction Number:";"Transaktionsnummer:"
123324234;123324234
"Invoice Number:";"Rechnungsnummer:"
2342q42342q34;2342q42342q34
"Payment Method:";"Zahlungsmethode:"
"Cash on Delivery";"Per Nachnahme"
"Total Amount:";"Gesamtbetrag:"
"Transaction Date:";"Buchungsdatum:"
01/21/2016;21/01/2016
"Your Order Details";"Ihre Bestelldetails"
Product;Produkt
Quantity;Menge
"Size :";"Größe:"
"Color :";"Farbe:"
1;1
"Order Total";"Bestellsumme"
"Print Receipt";"Beleg drucken"
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker richtet sich nach den höchsten Standards, wenn es um den Schutz sensibler Daten des Benutzers. Wir speichern nicht derzeit Ihre Debit-/Kreditkarte Details auf unserer Website."
"Delivery Address:";"Lieferadresse:"
"Consignee Contact Number:";"Telefonnummer des Empfängers:"
"Voucher Code";"Gutschein-Code"
"Invalid Or Expired Code";"Code für ungültig oder abgelaufen"
"Successfully applied code";"Erfolgreich angewandte code"
"Enter your voucher code here";"Geben Sie hier Ihren Gutscheincode"
Apply;Anwenden
"How Do You Wish To Pay?";"Wie möchten Sie bezahlen?"
"Click one of the options below";"Klicken Sie auf eine der folgenden Optionen"
"To ensure that you'll have a smooth shopping & delivery experience, please prepare the exact amount upon the date of delivery.";"Um sicherzustellen, dass Sie eine glatte Einkaufen & Lieferung erfahren haben, bereiten Sie bitte den genauen Betrag zum Zeitpunkt der Lieferung."
"Your payment solution for Over-the-Counter (OTC) payments if you don't have a Credit/Debit card.";"Ihre Zahlungslösung für Over-the-Counter (OTC) Zahlungen, wenn Sie eine Kredit-/Debitkarte nicht haben."
"The Philippines' leading payment solution for Credit/Debit Card transactions.";"Der Philippinen führenden Payment-Lösung für Kredit-/Debitkarte Transaktionen."
"Go back";"Zurück"
Continue;Weiter
Consignee;Empfänger
"Ship this transaction with the consignee details below.";"Versenden Sie diese Transaktion mit der Empfänger-Details siehe unten."
Name;Namen
"Enter consignee name here";"Geben Sie hier ein Empfänger"
"Contact Number";"Kontakt-Telefon"
"Enter consignee contact number here";"Geben Sie hier Empfänger Telefonnummer"
"YiLinker Express is capable of shipping anywhere in the Philippines at affordable rates";"YiLinker Express kann Versand überall in den Philippinen zu erschwinglichen Preisen"
"YiLinker Express offers FREE shipping on Metro Manila orders only";"YiLinker Express bietet Ihnen versandkostenfrei Bestellungen nur der Metro Manila"
"You'll receive the tracking details for your parcel soon after the dispatch of your order.";"Kurz nach dem Versand Ihrer Bestellung erhalten Sie die Tracking-Informationen für Ihr Paket."
"Ships in";"Schiffe in"
"No hidden fees";"Keine versteckten Gebühren"
"7 days return policy";"7 Tage Rückgabe"
"Mobile number is required";"Handy-Nummer ist erforderlich"
"Enter your mobile number here";"Geben Sie hier Ihre MobilNummer"
"New Shipping Address";"Neue Lieferadresse"
"Delete Address?";"Löschen Adresse?"
"Are you sure you want to delete this address";"Sind Sie sicher, dass Sie diese Adresse löschen möchten"
Delete;Löschen
"Update Shipping Address";"Aktualisieren Sie Lieferadresse"
"Shipping address has been successfully updated";"Versand-Adresse wurde erfolgreich aktualisiert"
Okay;Okay
"Change Mobile Number";"Handynummer ändern"
"Invalid contact number";"Ungültige Telefonnummer"
"Enter New Number";"Neue Nummer eingeben"
"Enter your new number here";"Geben Sie hier Ihre neue Nummer"
Submit;Senden
"The code is either invalid or is already expired.";"Der Code ist entweder ungültig oder bereits abgelaufen ist."
Verify;Überprüfen Sie
"Contact number has been successfully verified.";"Kontaktnummer wurde erfolgreich überprüft."
"Check As";"Überprüfen Sie als"
"Sign In";"Anmelden"
"Guest Checkout";"Guest-Checkout"
"Welcome to YiLinker";"Willkommen bei YiLinker"
"You cannot use the checkout functionality while you're still unverified.";"Die Kasse-Funktionalität können nicht während du noch nicht überprüft bist."
Back;Zurück
"Back to Home Page";"Zurück zur Startseite"
"Get Our App for FREE";"Holen Sie sich unsere App kostenlos"
"YiLinker - All you need in one place";"YiLinker - alles was Sie an einem Ort brauchen"
"Coming soon";"Bald kommen"
;
"Be a Buyer";"Käufer werden"
"View our Site";"Finden Sie auf unserer Website"
"Be a Seller";"Ein Verkäufer werden"
"Join Now";"Jetzt anmelden"
"Be an Affiliate";"Affiliate werden"
"Learn More";"Weitere Informationen"
"Stay tuned! You can subscribe to our newsletter to get";"Bleiben Sie dran! Sie können unseren Newsletter zu abonnieren"
"a notification when we launch!";"eine Benachrichtigung, wenn wir starten!"
"Enter your email address here";"Geben Sie hier Ihre e-Mail-Adresse"
SUBSCRIBE;ABONNIEREN
"+63 977-7265481";"+ 63 977-7265481"
"Top Brands";"Top-Marken"
"Shop This Brand";"Diese Marke kaufen"
off;aus
"Add to wislist";"Zu Wislist hinzufügen"
"Top Categories";"Top-Kategorien"
"Shop Now";"Jetzt einkaufen"
"Featured Items";"Top-Angebote"
"view more &rarr";"Zeige mehr & rarr"
"Top Sellers";"Top-Seller"
"Seller Name";"Verkäufer Namen"
Specialty:;Spezialität:
FEATURED;VORGESTELLTEN
"Items You May Like";"Artikel, die Sie mögen, können"
"New Arrivals";"Neu im Sortiment"
"Banner Title";"Banner-Titel"
"New Sellers";"Neue Verkäufer"
"See What Others are Selling";"Sehen Sie, was andere sind Selling"
"view more sellers";"Weitere Verkäufer aufrufen"
"Our Recommendation";"Unsere Empfehlung"
"Trending Categories";"Trend-Kategorien"
"Recommended Seller";"Empfohlene Verkäufer"
"Free Shipping Nationwide";"Bundesweit Kostenloser Versand"
"No minimum purchase required";"Keine Mindestabnahme erforderlich"
"7-day return";"7-Tage-Rückgabe"
"Money back guaranteed";"Geld zurück Garantie"
"24/7 Support";"24/7 Unterstützen"
"Online help";"Online-Hilfe"
"Safe Shopping";"Sicher einkaufen"
"Product guaranteed";"Produkt garantiert"
"20% off";"20%Rabatt"
"Thank You!";"Danke!"
"See you Soon!";"Bis bald!"
"Promo Mechanics:";"Promo-Mechanik:"
YiLinker;YiLinker
"Campaign Period: November 16 to December 13, 2015";"Wahlkampf: November 16, 13. Dezember 2015"
Prizes;Preise
"Main Prize:";"Hauptpreis:"
"Consolation Prize:";"Trostpreis:"
"How to Join?";"Wie kann ich beitreten?"
"6F Five E-Com Center Pacific Drive, MOA Complex, Pasay City, Metro Manila, Philippines";"6f fünf E-Com Center Pacific Drive, MOA-Komplex, Pasay Stadt, Metro Manila, Philippinen"
"The following are not qualified for the promo:";"Im folgenden werden für die Promo nicht qualifiziert:"
"Criteria for Claiming the Prize";"Kriterien für die Inanspruchnahme des Preises"
"For a person to qualify, he/she:";"Für eine Person zu qualifizieren er/Sie:"
"Users may join the promo by:";"Benutzer können die Promo von teilnehmen:"
"How to Register?";"Wie kann ich registrieren?"
"How to Create an Entry?";"Wie kann ich einen Eintrag?"
"Terms and Condition";"Allgemeine Geschäftsbedingungen"
"Out of Stock";"Nicht lagernd"
"7-Day Return";"7-Tage-Rückgabe"
"Free Shipping";"Kostenloser Versand"
"scroll down";"Blättern Sie nach unten"
"for more info";"für mehr info"
"{0} no reviews|{1} %count% review|]1,Inf[ %count% reviews";"{0} keine Reviews| {1} % Anzahl % Review|] 1, Inf [% Anzahl % Bewertungen"
"Add to Wishlist";"Auf die Merkliste"
"Short Description";"Kurze Beschreibung"
Seller;Verkäufer
"Free Shipping (Metro Manila only)";"Kostenloser Versand (nur Metro Manila)"
"out of stock";"Nicht lagernd"
"Buy now";"Jetzt kaufen"
"Share this product";"Teilen Sie dieses Produkt"
Twitter;Twitter
"Description &amp";"Beschreibung & amp"
"Payment &amp";"Zahlung & amp"
"Buyer Reviews";"KäuferBewertungen"
"Special Offers";"Spezielle Angebote"
Description;Beschreibung
"Related Video";"Beiträge zu diesem Video"
Specifications;Spezifikationen
Condition;Zustand
SKU;SKU
"Payment Options";"Zahlungsoptionen"
"We accept all major credit cards through DragonPay &amp";"Wir akzeptieren alle gängigen Kreditkarten durch DragonPay & amp."
"We do not accept other currency in any amount";"Wir akzeptieren keine andere Währung in beliebiger Höhe"
"Sellers can't require buyers to pay using methods that aren't allowed on YiLinker";"Verkäufer können nicht erfordern Käufern zu zahlen mit Methoden, die es nicht gestattet, auf YiLinker"
"Shipping &amp";"Versand & amp"
"Not available";"Nicht verfügbar"
"Add to wishlist";"Auf die Merkliste"
"No rating or review for this product yet";"Keine Bewertung oder Test zu diesem Produkt noch"
Specialty;Spezialgebiet
"Mark your Address";"Markieren Sie Ihre Adresse"
"Mark Location";"Mark Lage"
"Feedback for Product";"Feedback für Produkt"
"Feedback title and content cannot be empty";"Rückmeldung-Titel und Inhalt darf nicht leer sei"
"Let other people know what you think about this product.";"Lassen Sie andere Menschen wissen, was denken Sie über dieses Produkt."
Rating:;Bewertung:
Title:;Titel:
"Enter review title here";"Bewertung Titel hier eingeben"
Comment:;Kommentar:
"Leave a comment";"Schreibe einen Kommentar"
"Feedback for Seller";"Feedback für Verkäufer"
"Product List";"Produktliste"
SKU:;SKU:
Quantity:;Menge:
Details:;Informationen:
Condition:;Zustand:
"Product Price:";"Produktpreis:"
Brand:;Marke:
Status:;Status:
Total:;Insgesamt:
"Feedback to Seller";"Feedback an Verkäufer"
"Go to seller page";"Gehen Sie zur Seite der Verkäufer"
"Activity Log";"Aktivitätsprotokoll"
Information;Informationen
"Followed Seller";"Gefolgt Verkäufer"
"Upload Document";"Dokument hochladen"
"Followed Sellers";"Gefolgt von Verkäufern"
OOOooops!!!;OOOooops!!!
"It looks like you haven't followed any Sellers yet. Checkout our homepage and follow some of the best Sellers that we have on YiLinker.";"Es sieht wie Sie jeder Verkäufer noch befolgt habe nicht. Kasse unserer Homepage und folgen einige der besten Anbietern, die wir auf YiLinker haben."
"My Points";"Meine Punkte"
"Basic Information";"Grundlegende Informationen"
"Email verification sent.";"E-Mail-Bestätigung gesendet."
"Something went wront. Please try again later";"Etwas ging Wront. Bitte versuchen Sie es später erneut"
"Information successfully updated.";"Informationen, die erfolgreich aktualisiert."
"First Name";"Vornamen"
"Enter your first name here";"Geben Sie hier Ihren Vornamen"
"Last Name";"Nachnamen"
"Enter your last name here";"Geben Sie hier Ihren Nachnamen ein"
"Mobile Number";"MobilNummer"
Change;Änderung
"Mobile number is not yet verified.";"Handynummer ist noch nicht überprüft."
"Click here to verify";"Klicken Sie hier, um zu überprüfen"
"Kindly enter your contact number.";"Bitte geben Sie Ihre Telefonnummer ein."
"Verified mobile number";"Verifizierter Handynummer"
"Account Information";"Account-Informationen"
"Enter your email here";"Geben Sie Ihre e-Mail hier"
"Your Referral Code";"Empfehlungs Code"
"Copy Link.";"Link kopieren."
"Copy Code";"Code kopieren"
"Referral Person";"Empfehlungs-Person"
"Referrers Name:";"Referrer-Namen:"
"Referrers Code:";"Referrer-Code:"
Save;Sie sparen
"Shipping Address";"Lieferadresse"
"Save Changes";"Änderungen speichern"
"New Shippping Address";"Neue Shippping Adresse"
"Pin your address to map";"Fixieren Sie Ihre Adresse zuordnen"
"Home Address";"Home-Adresse"
"Unit Number";"Apartmentnummer"
"Building Name";"Gebäudename"
"Street Number";"Hausnummer"
"Street Name";"Straßenname"
Subdivision;Vorort
"Select your province";"Wählen Sie Ihre Provinz"
"Select your city";"Wählen Sie Ihre Stadt"
"Select your Barangay";"Wählen Sie Ihre Barangay"
Zipcode;Postleitzahl
"Select your City";"Wählen Sie Ihre Stadt"
"Apply Changes";"Änderungen übernehmen"
"Change Email Address";"E-Mail-Adresse ändern"
"Enter your new email address here";"Geben Sie hier Ihre neue Email-Adresse"
"Confirm your new email address here";"Bestätigen Sie Ihre neue e-Mail-Adresse hier"
"Change Password";"Passwort ändern"
"Enter your current password here";"Geben Sie Ihr aktuelle Passwort hier"
"Enter your new password here";"Geben Sie hier Ihr neue Passwort"
"Confirm your new password here";"Bestätigen Sie Ihr neue Passwort hier"
"My Profile";"Mein Profil"
Transaction;Transaktion
"All Transactions";"Alle Transaktionen"
On-Delivery;Bei Empfang
"For Feedback";"Für Feedback"
"Crop Photo";"Foto zuschneiden"
"Select Products";"Wählen Sie die Produkte"
Category;Kategorie
"Electronics &amp";"Elektronik & amp"
Accessories;Zubehör
"Product to Sell";"Produkt verkaufen möchten"
"Search item here";"Suchbegriff hier"
"All Products";"Alle Produkte"
"Sample er wer wer wer we rwe r";"Probieren Sie äh Wer Wer Wer wir Rwe R"
"Your inbox is currently empty.";"Posteingang ist leer."
"Point Earned";"Punkt verdient"
Breakdown;Aufschlüsselung
"""|{1} Point
                                                |]1,Inf[ Punkte"";""__|{1} Point
                                                |]1,Inf[ Punkte""
"
"We understand how frustrating it can be when there's a problem with one of your transactions. One of the benefits of using YiLinker is that you can take advantage of our Resolution Center to help you track, manage and resolve it as quickly as possible with absolute transparency.";"Wir verstehen, wie frustrierend es sein kann, wenn es ein Problem mit einem Ihrer Transaktionen gibt. Einer der Vorteile der Verwendung von YiLinker ist, dass Sie unsere Resolution Center nutzen können können Sie verfolgen, zu verwalten und so schnell wie möglich zu beheben, mit absoluter Transparenz."
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"Vergewissern Sie sich, dass Sie alle Bemühungen in einer Einigung mit erschöpft haben vor Beantragung einer Streitigkeit, die die andere Partei. Entscheidungen von unseren Spezialisten gelten als endgültig und werden nur geöffnet, wenn neue Beweise, von einer der Parteien vorgelegt wurde. Wir versuchen, Fälle so schnell wie möglich zu beheben, aber einige kann je nach den Umständen länger dauern."
"File a dispute";"Datei einen Streit"
Cases;Fällen
"Search By Case Id";"Suche nach Fall-Id"
Search;Suche
Filter;Filter
"Case ID";"Fall-ID"
"Dispute Title";"Streit-Titel"
Status;Status
"Other Party";"Anderen Partei"
"Date Opened";"Ersteröffnung"
Open;Offen
Closed;Geschlossen
"No case found";"Keinem Fall gefunden"
"Enter title here";"Geben Sie hier Titel"
"Dispute Type";"Streit-Typ"
"Select dispute type here";"Wählen Sie hier die Streit-Typ"
"Transaction No.";"Transaktionsnr."
"Select transaction here";"Wählen Sie hier"
"Select reason here";"Wählen Sie Grund hier"
"Select item to dispute:";"Selektieren Artikel streitig"
Remarks;Bemerkungen
"Leave your remarks here";"Hinterlassen Sie hier Ihre Anmerkungen"
"Your case has been successfully submitted";"Ihr Fall wurde erfolgreich übermittelt"
"To be approved by Admin.";"Zustimmung von admin."
OPEN;OFFEN
CLOSED;GESCHLOSSEN
"Dispute Details";"Streit-Details"
Reason:;Grund:
Items:;Elemente:
"No remarks";"Keine Äußerungen"
Contacts;Kontakte
Notifications;Benachrichtigungen
"SMS Notifications";"SMS-Benachrichtigungen"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"Neben Ihrer e-Mail auch erhalten marketing-Mitteilungen auf Ihrem Handy standardmäßig Sie. Sie können wählen, ob Sie SMS-Benachrichtigungen erhalten möchten."
"Account setting";"Konto einrichten"
"Deactivate My Account";"Mein Konto deaktivieren"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"Wir würden wirklich hassen, zu sehen, Sie gehen aber, man immer noch entscheiden, ob Sie Ihr Konto aktiv bleiben oder deaktivieren möchten. Andere Menschen, mit denen Sie mit Willen getätigt haben, haben noch eine Aufzeichnung Ihrer Transaktionen Daten, einschließlich, aber nicht beschränkt auf Ihre Name & Kontakt Nummer. Sie erhalten auch eine e-Mail, die einen über den Link enthält, sollten Sie Ihr Konto zu einem späteren Zeitpunkt reaktivieren wollen."
"The password you entered is invalid.";"Das eingegebene Kennwort ist ungültig."
"Please enter your password to confirm your account deactivation.";"Bitte geben Sie Ihr Passwort, um Ihr Konto Deaktivierung zu bestätigen."
Deactivate;Deaktivieren
"Account has been successfully deactivated.";"Konto wurde erfolgreich deaktiviert."
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"Eine Reaktivierung-e-Mail wurde an Ihre e-Mail zu Reneable Ihr Konto sollten wollen. Sie werden jetzt abgemeldet."
"Are you sure you want to proceed?";"Sind Sie sicher, dass Sie fortfahren möchten?"
"You are about to change the subscription status of your active mobile number.";"Sie sollen der Abonnementstatus Ihrer aktiven mobile-Nummer zu ändern."
"This Year";"In diesem Jahr"
"This Week";"Diese Woche"
"This Month";"In diesem Monat"
Date;Datum
Qty;Qty
"Payment Type";"Zahlungsart"
"Order Status";"Bestellstatus"
"No transaction available";"Keine Transaktion zur Verfügung"
"Go Back";"Zurück"
"Transaction Number";"Transaktionsnummer"
Details;Informationen
"Payment Type:";"Zahlungsart:"
"Date Created:";"Erstellungsdatum:"
"Total Quantity:";"Gesamtmenge:"
Subtotal:;Zwischensumme:
"Shipping Fee:";"Versandkosten:"
FREE;KOSTENLOSE
"Voucher Code:";"Gutscheincode:"
"Voucher Price Deduction:";"Gutschein-Preis-Abzug:"
"Total Cost:";"Gesamtkosten:"
"Cancel Order";"Bestellung stornieren"
"Feedback sent";"Rückmeldung gesendet"
"Feedback has been successfully submitted.";"Rückmeldungen wurde erfolgreich übermittelt."
Informatio;Informatio
"Upload your document";"Laden Sie Ihr Dokument"
"Only PDF, PNG, JPEG files are accepted";"Nur PDF, PNG, JPEG-Dateien werden akzeptiert"
Upload;Upload
"Uploaded Documents";"Hochgeladene Dokumente"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"Fügen Sie eine Feedback, um dieses Geschäft zu lassen andere Menschen wissen, was Sie denken. Ihre Meinung wichtig für uns."
"Communication Rating:";"Kommunikation-Bewertung:"
"Quality Rating:";"Qualitätsbewertung:"
"PROMO CODE:";"PROMO-CODE:"
"Terms and Conditions:";"Allgemeine Geschäftsbedingungen:"
"Promo Period:";"Promo-Zeitraum:"
"SIGN UP NOW";"MELDEN SIE SICH JETZT"
"SHOP NOW";"JETZT EINKAUFEN"
*;*
"Store Location";"Betriebsstätte"
