"Women Clothing";"Ropa femenina"	
"&rarr";"&rarr;"	
"Men Clothing";"ropa masculina"	
Shoes;Zapatos	
"Bags &amp Accessories";"Bolsos y accesorios"	
Electronics;Electrónica	
"Kids &amp Babies";"Niños y bebes"	
"Jewellery &amp Accessories";"Joyería y accesorios"	
"Sports &amp Outdoors";"Deporte y dep al aire libre"	
"Health &amp Beauty";"Salud y belleza"	
"Home, Garden &amp Office";"Casa, jardín y oficina"	
Dress;Vestidos	
Topwear;Ropa exterior	
Pants;Pantalones  	
Fashion;Moda	
Underclothes;Ropa interior	
"Product Name";"Nombre del producto"	
Jacket;Chaqueta	
Suits;Trajes	
T-shirt;camiseta	
Polo;Polo	
"Pants &amp Jeans";"Pantalones y Vaqueros"	
Sweater;Suéter	
Underwear;Ropa interior	
"Women's Shoes";"Zapatos femeninos"	
"Men's Shoes";"Zapatos masculinos"	
Slippers;Zapatillas	
Boots;Botas	
"Work Shoes";"Zapatos de trabajo"	
"Women's Bag";"Bolso femeninos"	
"Men's Bag";"Bolsa de los hombres"	
"Luggage &amp Travel Gear";"maletas y cosas para viajes"	
"Women's Accessories";"Accesorios femeninos"	
"Men's Accessories";"Accesorios masculinos"	
"Cell Phone";"Teléfono móvil"	
"Camera, Photo &amp Video";"Cámara, Foto y  vídeo"	
"Computer &amp Laptop";"Computadora y portátiles"	
"Wearable Technology";"Tecnología portátil"	
"Electronics Accessories";"Accesorios para electrónica"	
"Kids Clothing";"Ropa infantil"	
"Kids Shoes";"Zapatos infantiles"	
Toys;Juguetes	
"Babies Gear";"Cosas para bebes"	
"Maternity Care";"Cuidado de maternidad"	
Watch;Reloj	
Jewellery;Joyería	
Glasses;Gafas	
"Hair Ornament";"ornamento para el pelo"	
"Other Accessories";"Otros accesorios"	
"Sport Clothing";"Ropa de deporte"	
"Sport Shoes";"Zapatillas de deporte"	
"Sport Equipment";"Equipo de deporte"	
Outdoors;Para deporte al aire libre	
"Dance &amp";"Baile"	
"Sports Accessories";"Accesorios para deporte"	
"Skin Care";"Protección de la piel"	
Makeup;Maquillaje	
"Men's Care";"Artículos masculinos para el cuidado"	
"Personal Care";"Cuidado personal"	
"Health Care";"Cuidado de la salud"	
Furniture;Mueble	
Appliance;Dispositivos	
"Home Decor";"Decoración del hogar"	
"Bed &amp Bath";"Para baño y cama"	
"Kitchen &amp Dining";"Para cocina y comedor"	
"Window Treatments";"Tratamientos para ventanas"	
"Tools &amp Hardware";"Herramientas y  hardware"	
Stationery;Papelería	
"You have"; "Usted tiene"	
"on your shopping cart";"En su cesta de compra"	
"Payment Method";"Método de pago"	
Total;Total	
"Continue Shopping";"Seguir comprando"	
"Proceed to Checkout";"Pagar"	
"&nbsp";"& nbsp"	
"Schonning Watch (red, metal, large)";"Reloj Schonning (rojo, metal, grande)"	
"Schonning Watch";"Reloj Schonning "	
Size;Tamaño	
Color;Color	
Metal;Metal	
"Philips Series 500";"Serie Philips 500"	
Subtotal;Subtotal	
"Shipping Fee";"Gastos de envío"	
Free;Gratis	
"(Metro Manila only)";"(Sólo Metro Manila)"	
Small;Pequeño	
Red;Rojo	
Steel;Acero	
"Add to Cart";"Agregar a la cesta"	
"Powered by:";"Desarrollado por:"	
"To Do business";"Hacer negocios"	
"Login as seller";"Inicio de sesión como vendedor"	
"Login as affiliate";"Inicio de sesión como afiliado"	
"Help &amp Support";"Servicio de asistencia"	
"Your account";"Su cuenta"	
"Your order";"Su pedido"	
"Resolution Center";"Centro de solución"	
"Complaints";"Reclamaciones"	
Privacy Policy;Política de privacidad	
"Contact Us";"Contáctenos"	
"Related Links";"Enlaces relacionados"	
"Download our app";"Descargar nuestra aplicación"	
"Download our app (via QR Code)";"Descarga nuestra aplicación (a través del código QR)"	
"for apple";"para Apple"	
"for android";"para Androide"	
"Email Newsletter";"Boletín electrónico"	
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Voz a voz. Asegúrese de no perderse eventos interesantes, rebajas, y más al unirse a nuestro programa del boletín de noticias."	
"Subscribe";"Suscribir"	
"&copy 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"YiLinker Copia 2015. Las marcas registradas y marcas citadas son propiedad de sus respectivos propietarios."	
FAQ;Preguntas frecuentes	
"Shipping &amp delivery";"Envío y Entrega"	
"Return Policy";"Política de devoluciones"	
"Terms of use";"Términos de Uso"	
"Contact us";"Contáctenos"	
Payment;Pago	
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Voz a voz. Asegúrese de no perderse eventos" interesantes, rebajas, y más al unirse a nuestro programa del boletín de noticias.	
"Your current browser was developed over a decade ago,";"Tu navegador actual tiene mas de una década de ser desarrollado "	
"its like watching TV in black and white in 2015!";"Es como en el año 2015, viendo en blanco y negro!"	
"Please view the website in one of these modern browsers";"Por favor, consulte la página web de uno de estos navegadores actualizados"	its like watching TV in black and white in 2015!";"Es como en el año 2015, viendo en blanco y negro!"
download;Descargar	
"google chrome";"Google Chrome"	
"mozilla firefox";"Mozilla Firefox"	
"apple safari";"Safari de Apple"	
Categories;Categorías	
Search...;Buscar...	
"Suggested Search";"Búsqueda sugerida"	
"(eg. mobile, dress, toys, etc...)";"(Por ejemplo. Móvil, vestido, juguetes, etc. ...)"	
English;Inglés	
Chinese;Chino	
Canada;Canadá	
"For Android";"Para Android"	
"For IOS";"para IOS"	
"on your wishlist";"en su lista de artículos deseados"	
"0 items";"0 artículos"	
"on your cart";"en su carrito de compra"	
"Account Management";"Gestión de cuenta"	
Settings;Configuraciones 	
Messages;Mensajes	
Help;Ayuda	
Logout;Cerrar sesión	
Sign-Up;Regístrate	
Log-In;Iniciar sesión	
"Filter Area:";"Área de filtro:"	
Sub-Category;Subcategoría	
All;Todas	
Price;Precio	
"Price Range";"Rango de precios"	
Brand;Marca	
"More Filter";"Más filtros"	
"Sort By:";"Ordenar por:"	
Relevance;Relevancia	
"New to Old";"De nuevo a viejo"	
"Old to New";"De viejo a nuevo"	
Alphabetical;Alfabéticamente	
Popularity;Lo mas popular	
of;de	
"View By:";"Ver por:"	
"Add to cart";"Agregar a la cesta"	
"You have 0 items on your wishlist";"Tiene 0 artículos en su lista de artículos deseados"	
"All Categories";"Todas las categorías"	
Home;Página principal	
"Sub Category:";"Subcategoría:"	
More;Más	
Less;Menos	
"view more";"Ver más"	
"Edit Address";"Editar dirección"	
"Delete Address";"Eliminar dirección"	
"See More";"Ver más"	
"Ship To";"Enviar a"	
"New Address";"Nueva dirección"	
Proceed;Proceder	
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"El pedido para invitados le permite comprar desde nuestro sitio web, incluso si no está registrado. Después de realizar la compra, aun tendrá la opción de registrarse para obtener una cuenta."	
"Verify Number";"Verificar el número "	
"Verification code has been successfully resent";"El código de verificación ha sido reenviado con éxito"	
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Está a punto de cambiar su número de contacto, por favor asegúrese de tener el teléfono móvil a su alcance antes de continuar con este paso."	
"Please enter the 6 digit code that was sent to your mobile phone";"Por favor, introduzca el código de 6 dígitos que le fue enviado a su teléfono móvil"	
"Time Left:";"Tiempo restante:"	
"0";"0"	
"Enter Code";"Introduzca el código"	
"Enter your verification code";"Introduzca el código de verificación"	
Cancel;Cancelar	
"Resend Code";"Reenviar código"	
"Verify and Continue";"Verificar y continuar"	
"Checkout Type";"tipo de pago"	
Summary;Resumen	
Overview;Visión general	
Email/Mobile;Correo electrónico / Móvil	
"Enter your email/mobile here";"Ingrese aquí su correo electrónico / móvil" 	
Password;Contraseña	
"Enter your password here";"Introduzca aquí su contraseña" 	
"Sign In &amp";"Iniciar sesión"	
"or sign in with";"o inicia sesión con"	
Facebook;Facebook	
Google+;Google+	
"Order Summary";"Resumen de la orden de pedido"	
"Grand Total";"Suma total"	
"Voucher Deduction";"Deducción por vales"	
"There are no items to checkout.";"No hay artículos para pagar."	
"Go back to checkout";"Volver a pago"	
Congratulations;Felicitaciones	
"Your purchase was a success";"Su compra ha sido exitosa"	
"Want to buy more items similar to this?";"¿Desea comprar más artículos similares a éste?"	
"Congratulations on a successful purchase! While waiting for your product to arrive, we suggest checking out other related products that you just bought.";"¡Felicitaciones por una compra exitosa! Mientras espera de que su producto llegue, le sugerimos mirar otros productos relacionados con los que  acaba de comprar."	
"View Transaction";"Ver Transacción"	
or;o	
"Would you like to register an account?";"¿Le gustaría registrar una cuenta?"	
"Based on the information that you've provided in your order, YiLinker already has your basic information that's needed in creating an account. If you'd like to register on our website to receive more exciting news about our upcoming products & other promos, just enter your password and you're all set.";"Con base en la información proporcionada en su orden de pedido, YiLinker ya cuenta con su información básica que se necesita para crear una cuenta. Si desea registrarse en nuestra web para recibir más noticias sobre nuestros futuros productos y otras promociones, solo debe ingresar la contraseña y es así de fácil"	
"Sign Up Now";"Regístrese Ahora"	
"Consignee Name:";"Nombre del destinatario:"	
"Justine Carl Duazo";"Justine Carl Duazo"	
"Full Address:";"Dirección completa:"	
"6F Five E-com Tower, Pacific Drive, Mall of Asia Complex, Pasay City";"6F Cinco E-com To, Pacific Drive, Mall of Asia Complex, Pasay City"	
"Mobile Number:";"Número de teléfono móvil:"	
9271234567;9271234567	
"City/ Municipality:";"Ciudad / Municipio:"	
Manila;Manila	
"Transaction Details";"Detalles de la transacción"	
"Transaction Number:";"Número de transacción:"	
123324234;123324234	
"Invoice Number:";"Número de factura:"	
2342q42342q34;2342q42342q34	
"Payment Method:";"Método de pago:"	
"Cash on Delivery";"Pago contra entrega"	
"Total Amount:";"Cantidad total:"	
"Transaction Date:";"Fecha de Transacción:"	
01/21/2016;01/21/2016	
"Your Order Details";"Detalles de su pedido"	
"Product";"Producto"	
Quantity;Cantidad	
"Size :";"Tamaño :"	
"Color :";"Color:"	
1;1	
"Order Total";"Total de la orden de pedido"	
"Print Receipt";"Imprimir el recibo"	
"YiLinker adheres to the highest standards when it comes to protecting our user's sensitive data. We currently don't save your Credit/Debit Card details on our website.";"YiLinker se adhiere a los estándares más altos cuando se trata de proteger los datos sensibles de nuestros usuarios. Nosotros no guardamos en nuestra página web los datos de su tarjeta de crédito / débito."	
"Delivery Address:";"Dirección de entrega:"	
"Consignee Contact Number:";"Teléfono de contacto del destinatario:"	
"Voucher Code";"Código de cupón"	
"Invalid Or Expired Code";"Código no válido o caducado"	
"Successfully applied code";"Código aplicado correctamente"	
"Enter your voucher code here";"Introduzca aquí su código de cupón "	
Apply;Aplicar	
