"Women Clothing";"FemmesVêtements"	
"&rarr";"& rarr"	
"Men Clothing";"Hommes Vêtements"	
Shoes;Chaussures	
"Bags &amp Accessories";"Sacs & amp Accessoires"	
Electronics;Electronics	
"Kids &amp Babies";"Enfants & amp bébés"	
"Jewellery &amp Accessories";"Accessoires bijoux & amp"	
"Sports &amp Outdoors";"Sport & amp à l'extérieur"	
"Health &amp Beauty";"Santé & amp Beauté"	
"Home, Garden &amp Office";"Maison, jardin & amp Bureau"	
Dress;Habiller	
Topwear;Usure supérieure	
Pants;Pantalons	
Fashion;La mode	
Underclothes;Sous-vêtements	
"Product Name";"Nom du produit"	
Jacket;Veste	
Suits;costumes	
T-shirt;T-Shirt	
Polo;Polo	
"Pants &amp Jeans";"Pantalon & amp Jeans"	
Sweater;Pull	
Underwear;Sous-vêtements	
"Women's Shoes";"Chaussures femme"	
"Men's Shoes";"Chaussures"	
Slippers;Pantoufles	
Boots;Bottes	
"Work Shoes";"Chaussures de travail"	
"Women's Bag";"Sac de femmes"	
"Men's Bag";"Sac pour hommes"	
"Luggage &amp Travel Gear";"Bagages & amp voyage Gear"	
"Women's Accessories";"Accessoires pour Femmes"	
"Men's Accessories";"Accessoires pour Hommes"	
"Cell Phone";"Téléphone Cellulaire"	
"Camera, Photo &amp Video";"Caméra, Photo & ampli Vidéo"	
"Computer &amp Laptop";"Ordinateur & ampli Portable"	
"Wearable Technology";"Wearable Technologie"	
"Electronics Accessories";"Accessoires Electronique"	
"Kids Clothing";"Enfants vêtements"	
"Kids Shoes";"Chaussures enfants"	
Toys;Jouets	
"Babies Gear";"Engins de bébés"	
"Maternity Care";"Soins de maternité"	
Watch;Montre	
Jewellery;Bijoux	
Glasses;Lunettes	
"Hair Ornament";"Ornement de Cheveux"	
"Other Accessories";"Autres Accessoires"	
"Sport Clothing";"Vêtements de Sport"	
"Sport Shoes";"Chaussures de Sport"	
"Sport Equipment";"Équipement de Sport"	
Outdoors;À l'extérieur	
"Dance &amp";"Danse & amp"	
"Sports Accessories";"Accessoires de Sports"	
"Skin Care";"Soins de la peau"	
