"Women Clothing";"Abbigliamento Donna"	
"&rarr";"& rarr"	
"Men Clothing";"Abbigliamento Uomo"	
Shoes;Scarpe	
"Bags &amp Accessories";"Borse e Accessori"	
Electronics;Elettronica	
"Kids &amp Babies";"Bambini e Neonati"	
"Jewellery &amp Accessories";"Gioielli e Accessori  "	
"Sports &amp Outdoors";"Sport All'aperto"	
"Health &amp Beauty";"Salute e Bellezza"	
"Home, Garden &amp Office";"Casa, Giardino e Ufficio"	
Dress;Abito	
Topwear;Top	
Pants;Pantaloni	
Fashion;Moda	
Underclothes;Biancheria intima	
"Product Name";"Nome Prodotto"	
Jacket;Giacca	
Suits;Vestiti	
T-shirt;T-shirt	
Polo;Polo	
"Pants &amp Jeans";"Pantaloni e Jeans"	
Sweater;Maglione	
Underwear;Biancheria intima	
"Women's Shoes";"Scarpe Donna"	
"Men's Shoes";"Scarpe Uomo"	
Slippers;Pantofole	
Boots;Stivali	
"Work Shoes";"Scarpe da Lavoro"	
"Women's Bag";"Borsa Donna"	
"Men's Bag";"Borsa Uomo"	
"Luggage &amp Travel Gear";"Bagagli e Attrezzatura da Viaggio"	
"Women's Accessories";"Accessori Donna"	
"Men's Accessories";"Accessori Uomo"	
"Cell Phone";"Cellulare"	
"Camera, Photo &amp Video";"Macchina fotografica, Foto e  Video"	
"Computer &amp Laptop";"Computer e Portatile"	
"Wearable Technology";"Tecnologia Indossabile"	
"Electronics Accessories";"Accessori Elettronica"	
"Kids Clothing";"Abbigliamento Bambini"	
"Kids Shoes";"Scarpe Bambini"	
Toys;Giocattoli	
"Babies Gear";"Attrezzatura Neonati"	
"Maternity Care";"Maternità"	
Watch;Orologio	
Jewellery;Gioielli	
Glasses;Occhiali	
"Hair Ornament";"Ornamento Capelli"	
"Other Accessories";"Altri Accessori"	
"Sport Clothing";"Abbigliamento Sportivo"	
"Sport Shoes";"Scarpe Sportive"	
"Sport Equipment";"Apparecchiatura Sportiva"	
Outdoors;All’aperto	
"Dance &amp";"Danza & amp"	
"Sports Accessories";"Accessori Sportivi"	
"Skin Care";"Cura della Pelle"	
Makeup;Make-up	
"Men's Care";"Cura Uomo"	
"Personal Care";"Cura Personale"	
"Health Care";"Cura Salute"	
Furniture;Mobili	
Appliance;Apparecchio	
"Home Decor";"Oggettistica per la Casa"	
"Bed &amp Bath";"Letto e Bagno"	
"Kitchen &amp Dining";"Cucina e Sala Pranzo"	
"Window Treatments";"Trattamenti Finestra"	
"Tools &amp Hardware";"Strumenti e Hardware"	
Stationery;Articoli di Cancelleria	
"You have";"Hai"	
"on your shopping cart";"nel tuo carrello"	
"Payment Method";"Metodo di Pagamento"	
Total;Totale	
"Continue Shopping";"Continua lo Shopping"	
"Proceed to Checkout";"Procedi al Checkout"	
"&nbsp";"& nbsp"	
