"Women Clothing";"Pakaian wanita"
"&rarr;";"& rarr;"
"Men Clothing";"Pakaian lelaki"
Shoes;Kasut
"Bags &amp; Accessories";"Beg & amp; aksesori"
Electronics;Elektronik
"Kids &amp; Babies";"Kanak-kanak & amp; bayi"
"Jewellery &amp; Accessories";"Aksesori barangan kemas & amp;"
"Sports &amp; Outdoors";"Sukan & amp; di luar"
"Health &amp; Beauty";"Kesihatan & amp; Salun Kecantikan"
"Home, Garden &amp; Office";"Rumah, Taman & amp; Pejabat"
Dress;Pakaian
Topwear;Topwear
Pants;Seluar
Fashion;Fesyen
Underclothes;Underclothes
"Product Name";"Nama produk"
Jacket;Jaket
Suits;guaman
T-shirt;Kemeja-t
Polo;Polo
"Pants &amp; Jeans";"Seluar & amp; Seluar Jeans"
Sweater;Sweater
Underwear;Seluar dalam
"Women's Shoes";"Kasut wanita"
"Men's Shoes";"Kasut lelaki"
Slippers;Selipar
Boots;Tapi
"Work Shoes";"Kasut kerja"
"Women's Bag";"Wanita Beg "
"Men's Bag";"Lelaki  Beg "
"Luggage &amp; Travel Gear";"Ruang & amp; Gear pelancongan"
"Women's Accessories";"Aksesori wanita"
"Men's Accessories";"Aksesori lelaki"
"Cell Phone";"Telefon bimbit"
"Camera, Photo &amp; Video";"Kamera, foto & amp; Video"
"Computer &amp; Laptop";"Komputer & amp; komputer riba"
"Wearable Technology";"Teknologi boleh pakai"
"Electronics Accessories";"Aksesori elektronik"
"Kids Clothing";"Kanak-kanak pakaian"
"Kids Shoes";"Kasut kanak-kanak"
Toys;Mainan
"Babies Gear";"Gear bayi"
"Maternity Care";"Rawatan bersalin"
Watch;Watch
Jewellery;Barangan kemas
Glasses;Cermin mata
"Hair Ornament";"Hiasan rambut"
"Other Accessories";"Aksesori lain"
"Sport Clothing";"Pakaian sukan"
"Sport Shoes";"Kasut sukan"
"Sport Equipment";"Peralatan sukan"
Outdoors;Di luar
"Dance &amp; Yoga";"Tarian & amp;"
"Sports Accessories";"Aksesori sukan"
"Skin Care";"Penjagaan kulit"
Makeup;Alat solek
"Men's Care";"Penjagaan lelaki"
"Personal Care";"Penjagaan peribadi"
"Health Care";"Penjagaan kesihatan"
Furniture;Perabot
Appliance;Perkakas
"Home Decor";"Dekor ke rumah"
"Bed &amp; Bath";"Mandian katil & amp;"
"Kitchen &amp; Dining";"Dapur & amp; Makan"
"Window Treatments";"Rawatan tetingkap"
"Tools &amp; Hardware";"Alat & amp; perkakasan"
Stationery;Alat tulis
"You have";"Anda mempunyai"
"on your shopping cart";"atas troli membeli-belah"
"Payment Method";"Kaedah pembayaran"
Total;Jumlah keseluruhan
"Continue Shopping";"Teruskan membeli-belah"
"Proceed to Checkout";"Terus kepada semakan Keluar"
"&nbsp;";"& nbsp;"
"Schonning Watch (red, metal, large)";"Schonning Watch (metal merah, besar)"
"Schonning Watch";"Schonning Watch"
Size;Saiz
Color;Warna
Metal;Logam
"Philips Series 500";"Philips siri 500"
Subtotal;Jumlah kecil
"Shipping Fee";"Kos penghantaran"
Free;Percuma
"(Metro Manila only)";"(Metro Manila sahaja)"
Small;Kecil
Red;Merah
Steel;Keluli
"Add to Cart";"ADD to Cart"
