"Women Clothing";"အမ်ဳိးသမီး အဝတ္အထည္"
"&rarr;";"&rarr;"
"Men Clothing";"အမ်ဳိးသား အဝတ္အထည္"
Shoes;ဖိနပ္မ်ား
"Bags &amp; Accessories";"အိတ္မ်ား &amp; တြဲဖက္အသုံးအေဆာင္မ်ား"
Electronics;လွ်ပ္စစ္ပစၥည္းမ်ား
"Kids &amp; Babies";"ကေလးငယ္မ်ား &amp; ေမြးစကေလးငယ္မ်ား"
"Jewellery &amp; Accessories";"ေက်ာက္မ်က္ရတနာမ်ား &amp; တြဲဖက္အသုံးအေဆာင္မ်ား"
"Sports &amp; Outdoors";"အားကစား &amp; ျပင္ပ"
"Health &amp; Beauty";"က်န္းမာေရး &amp; အလွအပ"
"Home, Garden &amp; Office";"အိမ္၊ ဥယ်ာဥ္ &amp; ရုံး"
Dress;ဂါဝန္
Topwear;အေပၚဝတ္
Pants;ေဘာင္းဘီ
Fashion;ဖက္ရွင္
Underclothes;ေအာက္ခံအဝတ္အထည္
"Product Name";"ကုန္ပစၥည္းအမည္"
Jacket;ဂ်က္ကတ္
Suits;ဝတ္စုံ
T-shirt;တီရွပ္
Polo;ပိုလို
"Pants &amp; Jeans";"ေဘာင္းဘီ &amp; ဂ်င္း"
Sweater;ဆြယ္တာ
Underwear;ေအာက္ခံ
"Women's Shoes";"အမ်ဳိးသမီးစီး ဖိနပ္မ်ား"
"Men's Shoes";"အမ်ဳိးသားစီး ဖိနပ္မ်ား"
Slippers;စလစ္ပါ
Boots;ဘြတ္ဖိနပ္
"Work Shoes";"အလုပ္စီး ဖိနပ္"
"Women's Bag";"အမ်ဳိးသမီးကိုင္ အိတ္"
"Men's Bag";"အမ်ဳိးသားကိုင္ အိတ္"
"Luggage &amp; Travel Gear";"ခရီးေဆာင္လက္ဆြဲအိတ္ &amp; ခရီးေဆာင္အိတ္"
"Women's Accessories";"အမ်ဳိးသမီးသုံး တြဲဖက္အသုံးအေဆာင္မ်ား"
"Men's Accessories";"အမ်ဳိးသားသုံး တြဲဖက္အသုံးအေဆာင္မ်ား"
"Cell Phone";"ဆဲလ္ဖုန္း"
"Camera, Photo &amp; Video";"ကင္မရာ၊ ဓာတ္ပုံ &amp; ဗီဒီယို"
"Computer &amp; Laptop";"ကြန္ပ်ဴတာ &amp; လက္ပ္ေတာ့ပ္"
"Wearable Technology";"ဝတ္ဆင္ႏိုင္ေသာ နည္းပညာထုတ္ကုန္မ်ား"
"Electronics Accessories";"လွ်ပ္စစ္ဆက္စပ္ပစၥည္းမ်ား"
"Kids Clothing";"ကေလး အဝတ္အထည္မ်ား"
"Kids Shoes";"ကေလးစီး ဖိနပ္မ်ား"
Toys;ကစားစရာမ်ား
"Babies Gear";"ကေလးတြန္းလွည္းမ်ား"
"Maternity Care";"ကိုယ္ဝန္ေဆာင္ ေစာင့္ေရွာက္မႈ"
Watch;လက္ပတ္နာရီ
Jewellery;ေက်ာက္မ်က္ရတနာ
Glasses;မ်က္မွန္
"Hair Ornament";"ဆံပင္အလွဆင္ပစၥည္း"
"Other Accessories";"အျခားေသာ ဆက္စပ္ပစၥည္းမ်ား"
"Sport Clothing";"အားကစား ဝတ္စုံ"
"Sport Shoes";"အားကစား ဖိနပ္"
"Sport Equipment";"အားကစား ကိရိယာ"
Outdoors;ျပင္ပ
"Dance &amp; Yoga";"အက &amp;"
"Sports Accessories";"အားကစား ဆက္စပ္ပစၥည္းမ်ား"
"Skin Care";"အသားအရည္ထိန္းသိမ္းေရပစၥည္းမ်ား"
Makeup;မိတ္ကပ္
"Men's Care";"အမ်ဳိးသားသုံး တစ္ကိုယ္ရည္ပစၥည္းမ်ား"
"Personal Care";"တစ္ကိုယ္ရည္သုံး ပစၥည္းမ်ား"
"Health Care";"က်န္းမာေရး ေစာင့္ေရွာက္မႈ"
Furniture;ပရိေဘာဂ
Appliance;ကိရိယာမ်ား
"Home Decor";"အိမ္အလွဆင္ပစၥည္းမ်ား"
"Bed &amp; Bath";"အိပ္ခန္း &amp; ေရခ်ဳိးခန္း"
"Kitchen &amp; Dining";"မီးဖိုေခ်ာင္ &amp; ထမင္းစားခန္း"
"Window Treatments";"ျပတင္းေပါက္ အလွဆင္ပစၥည္းမ်ား"
"Tools &amp; Hardware";"ကိရိယာမ်ား &amp; ကုန္မာပစၥည္းမ်ား"
Stationery;စာေရးကိရိယာ
"You have";"သင့္ေစ်းဝယ္လွည္းအတြင္း "
"on your shopping cart";"ရွိသည္"
"Payment Method";"ေငြေပးေခ်မႈ နည္းလမ္း"
Total;စုစုေပါင္း
"Continue Shopping";"ေစ်းဆက္ဝယ္မည္"
"Proceed to Checkout";"ေပးေခ်ရန္ လုပ္ေဆာင္မည္"
"&nbsp;";"&nbsp;"
"Schonning Watch (red, metal, large)";"Schonning လက္ပတ္နာရီ (အနီ၊ သတၱဳ၊ အၾကီး)"
"Schonning Watch";"Schonning လက္ပတ္နာရီ "
Size;ဆိုဒ္
Color;အေရာင္
Metal;သတၱဳ
"Philips Series 500";"Philips စီးရီး 500"
