"Women Clothing";"Roupa Mulher"
"&rarr";"&rarr"
"Men Clothing";"Roupa Homem"
Shoes;Calçado
"Bags &amp Accessories";"Malas e acessórios"
Electronics;Eletrônica
"Kids &amp Babies";"Crianças e Bebés"
"Jewellery &amp Accessories";"Jóias e acessórios"
"Sports &amp Outdoors";"Desportes e ao ar livre"
"Health &amp Beauty";"Saúde e beleza"
"Home, Garden &amp Office";"Casa, Jardim e Escritório"
Dress;Vestido
Topwear;Top
Pants;Calças
Fashion;Moda
Underclothes;Roupa interior
"Product Name";"Nome de produto"
Jacket;Casaco
Suits;Fatos
T-shirt;Camiseta
Polo;Camisa Polo
"Pants &amp Jeans";"Calças e jeans"
Sweater;Suéter
Underwear;Roupa interior
"Women's Shoes";"Calçado mulher"
"Men's Shoes";"Calçado homem"
Slippers;Pantufas
Boots;Botas
"Work Shoes";"Sapatos de trabalho"
"Women's Bag";"Mala de mulher"
"Men's Bag";"Mala de homem"
"Luggage &amp Travel Gear";"Bagagem e equipamento de viagem"
"Women's Accessories";"Acessórios mulher"
"Men's Accessories";"Acessórios homem"
"Cell Phone";"Telemóvel"
"Camera, Photo &amp Video";"Câmara, fotografia e vídeo"
"Computer &amp Laptop";"Computadora e laptop"
"Wearable Technology";"Tecnologías de vestir"
"Electronics Accessories";"Acessórios de eletrônica"
"Kids Clothing";"Roupa Crianças"
"Kids Shoes";"Calçado Crianças"
Toys;Brinquedos
"Babies Gear";"Equipamento bebés"
"Maternity Care";"Cuidados de maternidade"
Watch;Relógio
Jewellery;Jóias  
Glasses;óculos
"Hair Ornament";"Ornamentos de cabelo"
"Other Accessories";"Outros acessórios"
"Sport Clothing";"Roupas Esportivas"
"Sport Shoes";"Calçado desportivo"
"Sport Equipment";"Equipamentos esportivos"
Outdoors;Ao ar livre
"Dance &amp";"Dança"
"Sports Accessories";"Acessórios desportivos"
"Skin Care";"Cuidado da pele"
Makeup;Maquilagem
"Men's Care";"Cuidados de homens"
"Personal Care";"Cuidados pessoais"
"Health Care";"Cuidados de saúde"
Furniture;Mobiliário
Appliance;Eletrodoméstico
"Home Decor";"Decoração de interiores"
"Bed &amp Bath";"Cama e banho"
"Kitchen &amp Dining";"Cozinha e jantar"
"Window Treatments";"Tratamento das janelas"
"Tools &amp Hardware";"Ferramentas e equipamento"
Stationery;Papelaria
"You have";"Você tem"
"on your shopping cart";"no seu carrinho de compras"
"Payment Method";"Método de pagamento"
Total;Total
"Continue Shopping";"Continue as suas compras"
"Proceed to Checkout";"Proceder a compra"
"&nbsp";"&nbsp"
"Schonning Watch (red, metal, large)";"Relógio Schonning (vermelho, metálico, grande)"
"Schonning Watch";"Relógio Schonning  "
Size;Tamanho
Color;Cor
Metal;Metálico
"Philips Series 500";"Série Philips 500"
Subtotal;Subtotal
"Shipping Fee";"Taxa de envio"
Free;Gratis
"(Metro Manila only)";"Só Metro Manila"
Small;Pequeño
Red;Vermelho
Steel;Aço
"Add to Cart";"Adicionar ao carrinho de compras"
"Powered by:";"Movido a:"
"To Do business";"Fazer negócios"
"Login as seller";"Registar como vendedor"
"Login as affiliate";"Registar como Afiliado"
"Help &amp Support";"Ayuda e apoio"
"Your account";"A sua conta"
"Your order";"O seu pedido"
"Resolution Center";"Centro de resoluções"
Complaints;Reclamações
"Privacy Policy";"Política de Privacidade"
"Contact Us";"Formulário do contato"
"Related Links";"Links relacionados"
"Download our app";"Descarregar o nosso aplicativo"
"Download our app (via QR Code)";"Descarregar o nosso aplicativo (via código QR)"
"for apple";"Para Apple"
"for android";"Para Android"
"Email Newsletter";"Boletim electrónico"
"Get the word out. Make sure you don't miss out on interesting events, sale, and more by joining our newsletter program.";"Fora a palavra. Para garantir que recebe a informação dos nossos eventos, vendas e mais novedades unindo-se ao nosso boletim eletrónico. "
Subscribe;Subscrever
"&copy 2015 YiLinker. Trademarks and brands are the property of their respective owners.";"Cópia 2015 YiLinker. Marcas registadas e marcas comerciais mencionadas pertencem aos seus proprietários respectivos."
FAQ;Secção FAQ
"Shipping &amp delivery";"Expedição e entrega"
"Return Policy";"Política de devolução"
"Terms of use";"Termos de uso"
"Contact us";"Contacte-nos"
Payment;Pagamento
"Get the word out. Make sure you didn't miss interesting events, sale, and more by joining our newsletter program.";"Fora a palavra. Para garantir que recebe a informação dos nossos eventos, vendas e mais novedades unindo-se ao nosso boletim eletrónico. "
"Your current browser was developed over a decade ago,";"O seu navegador actual foi desenvolvido há mais de uma década,"
"its like watching TV in black and white in 2015!";"É como em 2015, a ver em preto e branco!"
"Please view the website in one of these modern browsers";"Por favor ver esta página web em um dos navegadores modernos "
download;Descarregar
"google chrome";"Google Chrome"
"mozilla firefox";"Mozilla Firefox"
"apple safari";"Apple Safari"
Categories;Categorias
Search...;Pesquisa...
"Suggested Search";"Pesquisa sugerida"
"(eg. mobile, dress, toys, etc...)";"(móvel, vestido, brinquedos, etc.)"
English;Inglês
Chinese;Chinês
Canada;Canadá
"For Android";"Para Android"
"For IOS";"Para IOS"
"on your wishlist";"Em sua Lista de Desejos"
"0 items";"0 Artigos"
"on your cart";"no seu carrinho"
"Account Management";"Gestão da conta"
Settings;Configuração
Messages;Mensagens
Help;Ajuda
Logout;Terminar Sessão
Sign-Up;Inscrever-se
Log-In;Conectar
"Filter Area:";"Área do filtro"
Sub-Category;Subcategoria
All;Tudo
Price;Preço
"Price Range";"Faixa de preço"
Brand;Marca
"More Filter";"Mais filtros"
"Sort By:";"Ordenar por:"
Relevance;Importância
"New to Old";"Novo para Antigo"
"Old to New";"Antigo para Novo"
Alphabetical;Alfabético
Popularity;Popularidad
of;De 
"View By:";"Visão por:"
"Add to cart";"Adicionar ao carrinho"
"You have 0 items on your wishlist";"Você tem 0 artigos em sua Lista de Desejos"
"All Categories";"Todas as categorias"
Home;Casa
"Sub Category:";"Subcategoria:"
More;Mais  
Less;Menos
"view more";"ver mais"
"Edit Address";"Processar endereço"
"Delete Address";"Eliminar endereço"
"See More";"ver mais"
"Ship To";"Enviar a"
"New Address";"Novo endereço"
Proceed;prosseguir
"Guest Checkout allows you to purchase from our website even if you aren't registered. After your purchase has been completed you'll still have the option to register for an account.";"Caixa de Visitante permite comprar do nosso site si você ainda não há registado. Depois que a compra tiver sido concluída, ainda existe a opção registrar para a conta."
"Verify Number";"Verificam o número"
"Verification code has been successfully resent";"O código de verificação tem sido reenviado com êxito"
"You are about to change your contact number, please ensure that your mobile phone is within reach before you proceed with this step.";"Você está prestes a mudar o seu número de telefone, por favor certifique-se que o seu telemóvel está ao vosso alcance antes de passar com este passo."
"Please enter the 6 digit code that was sent to your mobile phone";"Por favor insira os 6 dígitos do código que foi enviado para o seu telemóvel"
"Time Left:";"Tempo restante:"
0;0
"Enter Code";"Entre um código"
"Enter your verification code";"Entre o seu código de verificação"
Cancel;Cancelar
"Resend Code";"Reenviar código"
"Verify and Continue";"Verificar e continuar"
"Checkout Type";"Tipo do caixa"
Summary;Resumo
Overview;Visão geral
Email/Mobile;Correio eletrónico / Telemóvel
"Enter your email/mobile here";"Insira seu correio eletrónico telemóvel aquí"
Password;Senha
"Enter your password here";"Insira a sua senha aquí"
