"click here";"Klicken Sie hier"
"out of";"von"
"requirements are already completed";"Anforderungen sind bereits abgeschlossen."
"Frequently Ask Questions";"Häufig gestellte Fragen"
"Add Product Category";"Produktkategorie hinzufügen"
"Category One";"Kategorie 1"
"&nbsp";"& nbsp"
"Add this Category";"Diese Kategorie hinzufügen"
"Verify Email Address";"Überprüfen Sie die E-Mail-Adresse"
Code;Code
"Resend Verification Code";"Bestätigungscode erneut zusenden"
Verify;Überprüfen Sie
"New Store Address";"Neue Geschäft-Adresse"
"Enter your address line 1 here";"Geben Sie hier Ihre Adresszeile 1"
Cancel;Abbrechen
Submit;Senden
Okay;Okay
"Are you sure you want to delete this address";"Sind Sie sicher, dass Sie diese Adresse löschen möchten"
Delete;Löschen
"Progress Overview";"Fortschritt-Übersicht"
"This is to ensure that YiLinker is working with only legitimate businesses";"Dadurch wird sichergestellt, dass YiLinker mit nur seriöse Unternehmen arbeitet"
"Seller Product";"Verkäufer-Produkt"
Category;Kategorie
Brand;Marke
Warranty;Garantie
Quantity;Menge
"Basketball Shoes";"Basketball-Schuhe"
"Enter your product brand";"Geben Sie Ihre Produktmarke"
Yes;Ja
No;Nein
"Go Back";"Zurück"
Save;Sie sparen
"AFFILIATE AGREEMENT";"AFFILIATE-VEREINBARUNG"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F 5-E-com, Mall of Asia, Pacific Drive, Pasay Stadt"
"Advertising Media";"Werbemedien"
"Affiliate Program";"Affiliate-Programm"
"Affiliateâ€™s Website";"Affiliateâ€™ s Website"
Customer;Kunden
EDM;EDM
Marks;Marken
Merchant;Kaufmann
Platform;Plattform
Site;Website
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"HÄNDLER-DIENSTVEREINBARUNG"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F 5-E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Händler-Vereinbarung"
"Site, Website";"Website, Website"
Payout;Auszahlung
Products;Produkte
Buyer;Käufer
"Selling Price";"Verkaufspreis"
"Corporate Name / Business Name";"Korporative Namen /Firmennamen"
Owner/President;Eigentümer/Präsident
"Company Phone Number";"Unternehmen-Telefonnummer"
"Registered Office Address";"Registrierte Büroadresse"
"Business Address (If different to registered office)";"Geschäftsadresse (falls anders als Sitz)"
"Contact Person";"Ansprechpartner"
"Phone and Fax";"Telefon und Fax"
"Email Address";"E-Mail-Adresse"
Website/Facebook/Twitter/Instagram;Webseite/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Zusammenfassung
"Bank Information";"Bankinformationen"
"Edit Bank Account";"Bank Account bearbeiten"
"Bank Account";"Bankkonto"
"Bank Details are Permanent";"Bankverbindungen sind Permanent"
"Enter your bank account title here";"Geben Sie hier Ihre Bankkonto-Titel"
"Enter bank here";"Geben Sie hier die bank"
"Account Number";"Kontonummer"
