"click here";"Haga clic aquí"
"out of";"fuera de"
"requirements are already completed";"ya se ha completado las exigencias"
"Frequently Ask Questions";"Preguntas frecuentes"
"Add Product Category";"Añadir categoría de producto"
"Category One";"Categoría uno"
"&nbsp";"&nbsp"
"Add this Category";"Añadir esta categoría"
"Verify Email Address";"Verificar dirección de correo electrónico"
Code;Código
"Resend Verification Code";"Reenviar código de verificación"
Verify;Verificar
"New Store Address";"Nueva dirección de almacenamiento"
"Enter your address line 1 here";"Introduzca aquí su línea 1 de su dirección"
Cancel;Cancelar
Submit;Enviar
Okay;Bien
"Are you sure you want to delete this address";"¿Está seguro que desea eliminar esta dirección?"
Delete;Eliminar
"Progress Overview";"Vista general del progreso"
"This is to ensure that YiLinker is working with only legitimate businesses";"Esto es para asegurarse de que YiLinker trabaja sólo con negocios legítimos"
"Seller Product";"Producto del vendedor"
Category;Categoría uno
Brand;Marca
Warranty;Garantía
Quantity;Cantidad
"Basketball Shoes";"Zapatillas de baloncesto"
"Enter your product brand";"Introduzca su marca del producto"
Yes;Sí
No;No
"Go Back";"Atrás"
Save;Guardar
"AFFILIATE AGREEMENT";"CONTRATO DE AFILIADO"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"Medios publicitarios"
"Affiliate Program";"Programa de afiliados"
"Affiliateâ€™s Website";"Página web de afiliadosâ€™"
Customer;Cliente
EDM;EDM
Marks;Marcas
Merchant;Vendedor
Platform;Plataforma
Site;Página
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"CONTRATO DE SERVICIOS DE VENDEDOR"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Contrato de vendedor"
"Site, Website";"Sitio, Página web"
Payout;Pago
Products;Productos
Buyer;Comprador
"Selling Price";"Precio de venta"
"Corporate Name / Business Name";"Nombre corporativo / Nombre del negocio"
Owner/President;Propietario / Presidente
"Company Phone Number";"Número de teléfono de la empresa"
"Registered Office Address";"Dirección comercial"
"Business Address (If different to registered office)";"Dirección de la empresa (si es diferente de la dirección comercial)"
"Contact Person";"Persona de contacto"
"Phone and Fax";"Teléfono y fax"
"Email Address";"Dirección de correo electrónico"
Website/Facebook/Twitter/Instagram;Página web/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Resumen
"Bank Information";"Información bancaria"
"Edit Bank Account";"Editar cuenta bancaria"
"Bank Account";"Cuenta bancaria"
"Bank Details are Permanent";"Los datos bancarios son permanentes"
"Enter your bank account title here";"Introduzca aquí el título de su cuenta corriente"
"Enter bank here";"Introduzca aquí el banco"
"Account Number";"Número de cuenta"
"Enter your bank account number here";"Introduzca aquí su número de cuenta"
