"click here";"Cliquez ici"
"out of";"sur"
"requirements are already completed";"exigences sont déjà terminées"
"Frequently Ask Questions";"Posent souvent des Questions"
"Add Product Category";"Ajouter la catégorie de produit"
"Category One";"Catégorie 1"
"&nbsp";"& nbsp"
"Add this Category";"Ajouter cette catégorie"
"Verify Email Address";"Vérifiez l'adresse électronique"
Code;Code
"Resend Verification Code";"Renvoyer le Code de vérification"
Verify;Vérifier
"New Store Address";"Nouvelle adresse du magasin"
"Enter your address line 1 here";"Entrez votre adresse ligne 1 ici"
Cancel;Annuler
Submit;Envoyer
Okay;OK
"Are you sure you want to delete this address";"Êtes-vous sûr de que vouloir supprimer cette adresse"
Delete;Supprimer
"Progress Overview";"Vue d'ensemble des progrès"
"This is to ensure that YiLinker is working with only legitimate businesses";"C'est de s'assurer que YiLinker travaille avec des entreprises légitimes seulement"
"Seller Product";"Produit du vendeur"
Category;Catégorie
Brand;Marque
Warranty;Garantie
Quantity;Quantité
"Basketball Shoes";"Chaussures de basket-ball"
"Enter your product brand";"Entrez votre marque de produit"
Yes;Oui
No;Non
"Go Back";"Retour"
Save;Enregistrer
"AFFILIATE AGREEMENT";"ACCORD D'AFFILIATION"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F cinq E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"Supports publicitaires"
"Affiliate Program";"Programme d'affiliation"
"Affiliateâ€™s Website";"Affiliateâ€™ s Website"
Customer;Client
EDM;EDM
Marks;Marques de
Merchant;Marchand
Platform;Plate-forme
Site;Site
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"ACCORD RELATIF AUX SERVICES MARCHANDS"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F cinq E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Accord de marchands"
"Site, Website";""
Payout;Déboursement
Products;Produits
Buyer;Acheteur
"Selling Price";"Prix de vente"
"Corporate Name / Business Name";"Dénomination sociale/nom de l'entreprise"
Owner/President;Propriétaire/Président
"Company Phone Number";"Numéro de téléphone d'entreprise"
"Registered Office Address";"Adresse du siège social"
"Business Address (If different to registered office)";"Adresse de l'entreprise (s'il est différent au siège social)"
"Contact Person";"Personne à contacter"
"Phone and Fax";"Téléphone et Fax"
"Email Address";"Adresse de courriel"
Website/Facebook/Twitter/Instagram;Site Web/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Résumé
"Bank Information";"Coordonnées bancaires"
"Edit Bank Account";"Modifier le compte Banque"
"Bank Account";"Compte Banque"
"Bank Details are Permanent";"Coordonnées Banque sont Permanent"
"Enter your bank account title here";"Entrez ici le titre de votre compte Banque"
"Enter bank here";"Entrez ici la Banque"
"Account Number";"Numéro de compte"
"Enter your bank account number here";"Entrez ici votre numéro de compte Banque"
"Account Name";"Nom de compte"
"Enter your bank account name here";"Entrez ici votre nom de compte Banque"
"Are you sure you want to delete this bank account";"Êtes-vous sûr de que vouloir supprimer ce compte Banque"
Ok;Bien
"Business Information";"Information d'affaires"
"Store Name";"Nom du magasin"
"Enter your display name";"Entrez votre nom d'affichage"
"Store Link";"Lien de magasin"
"Store Name and Store Link are Permanent";"Nom du magasin et le lien de magasin sont Permanent"
"First Name";"Prénom"
"Last Name";"Nom de famille"
"Mobile Number";"Numéro de téléphone mobile"
"Company / School";"Entreprise/école"
"Current Job / Course & Year Level";"Travail en cours/cours & année niveau"
TIN;ÉTAIN
Address;Adresse
"Edit Address";"Modifier l'adresse"
"Delete Address";"Supprimer adresse"
"Business Website";"Site Web d'entreprise"
"Ex. https://yourWebSite.com";"Ex. https://yourWebSite.com"
"Social Media Account";"Compte de médias sociaux"
"Select your Product Categories";"Sélectionnez vos catégories de produits"
"Address Title";"Titre de l'adresse"
"Home Address";"Adresse du domicile"
"Unit Number";"Numéro d'unité"
"Building Name";"Nom de l'immeuble"
"Street Number";"Numéro de la rue"
"Street Name";"Nom de la rue"
Subdivision;Subdivision
Province;la province
"Select your province";"Choisissez votre province"
City/Municipal;Ville/Municipal
Barangay;Barangay
"Zip Code";"Code postal"
Continue;Continuer
"Legal Information";"Mentions légales"
"Legal Requirements";"Exigences légales"
"DTI/SEC Permit";"DTI/s permis"
"Download DTI/SEC Permit";"Télécharger permis DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"Fichiers compatibles : JPEG, PNG et PDF"
"Mayor's Permit";"Permis du maire"
"Download Mayor's Permit";"Télécharger permis du maire"
"BIR Permit";"BIR permis"
"Download BIR Permit";"Télécharger BIR permis"
"Select your DTI/SEC Permit file from your computer";"Sélectionnez votre fichier DTI/s permis depuis votre ordinateur"
"Select your Mayor's Permit file from your computer";"Sélectionnez le dossier de permis de votre maire depuis votre ordinateur"
"Select your BIR Permit file from your computer";"Sélectionnez votre fichier BIR permettent depuis votre ordinateur"
"Other Documents";"Autres Documents"
"Select a document file from your computer";"Sélectionnez un fichier de document depuis votre ordinateur"
"By Checking this box";"En cochant cette case"
"YiLinker's terms and conditions";"Conditions générales de YiLinker"
"TIN File";"Fichier de l'étain"
"Download TIN File";"Télécharger fichier étain"
"SSS File";"Fichier SSS"
"Select Valid ID";"Sélectionnez la pièce d'identité valide"
"Download SSS File";"Télécharger fichier SSS"
"PAG-IBIG File";"PAG-IBIG fichier"
"Download PAG-IBIG File";"Télécharger fichier PAG-IBIG"
"Postal File";"Fichier de postaux"
"Download Postal File";"Télécharger fichier Postal"
"Passport File";"Fichier de passeport"
"Download Passport File";"Télécharger le dossier de passeport"
"Driver's License File";"Fichier de licence du pilote"
"Download Driver's License File";"Télécharger le fichier de licence du pilote"
"PRC File";"Fichier PRC"
"Download PRC File";"Télécharger le fichier PRC"
"Voter's ID File";"Fichier d'identification de l'électeur"
"Download Voter's ID File";"Télécharger le fichier d'identification de l'électeur"
"School ID File";"Fichier d'ID de l'école"
"Download School ID File";"Fichier d'ID de l'école de téléchargement"
"Select your TIN file from your computer";"Sélectionnez votre fichier étain depuis votre ordinateur"
"Valid ID";"Pièce d'identité valide"
"Select the type of Valid ID you want to upload from your computer";"Sélectionnez le type d'ID valide vous souhaitez télécharger depuis votre ordinateur"
"Seller Type:";"Type de vendeur:"
Seller;Vendeur
Affiliate;Société affiliée
"Owner Name:";"Nom du propriétaire:"
"Store Name:";"Nom du magasin:"
"Primary Address:";"Adresse principale:"
"Contact Number:";"Numéro de téléphone:"
"Change Content";"Modifier le contenu"
Edit;Edit
Start;Début
"Bank Name:";"Nom de la Banque:"
"Account Title:";"Compte titre:"
"Account Name:";"Nom du compte:"
"Account Number:";"Numéro de compte:"
"Document Name";"Nom du document"
"Date Uploaded";"Ajout le Date"
Status;Statut
Message;Message
"FORM MA11501 Permit";"FORME MA11501 permis"
Others;D'autres
SSS;SSS
"PAG IBIG";"IBIG PAG"
Postal;Postal
Passport;Passeport
"Driver's License";"Conduire permis de"
PRC;PRC
"Voter's ID";"ID de l'électeur"
"School ID";"ID de l'école"
"Legal Documents";"Documents juridiques"
Comments;Commentaires
Close;Fermer
"Already a member?";"Déjà un membre?"
"Sign In";"Connexion"
"The Question";"La Question"
"&#9679";"& #9679"
Benefits;Avantages
System;Système
Support;Prise en charge
"Want to start-up a business without any investment? Looking for passive income?";"Vous voulez démarrage une entreprise sans aucun investissement? Vous cherchez un revenu passif?"
"Sign in";"Connexion"
Register;S'inscrire
"Enter your email or contact number here";"Entrez votre e-mail ou numéro de téléphone ici"
Password;Mot de passe
"Forgot Password?";"Mot de passe oublié?"
Administrator;Administrateur
View;Vue
Hide;Masquer
"New Bank Account";"Nouveau compte bancaire"
"Update Bank Account";"Mise à jour de compte bancaire"
Logout;Logout
"View Store Info";"Info magasin de vue"
Settings;Paramètres
Help;Aide
Categories;Catégories
"Current Order:";"Ordre actuel:"
"New Category";"Nouvelle catégorie"
"Add new category";"Ajouter nouvelle catégorie"
"Delete Categories";"Supprimer des catégories"
"Customize Category";"Personnaliser la catégorie"
"Category Name";"Nom de la catégorie"
"Parent Category";"Catégorie parente"
"Select a parent category";"Sélectionnez une catégorie parent"
"Custom Category Products";"Produits de la catégorie personnalisée"
"Search item here";"Recherche ici"
"All Products";"Tous les produits"
"Total Earning";"Gain total"
"Active Earning";"Gagner de l'actif"
"Tentative Earning";"Gagner de l'indicative"
"Total Withdrew";"Total a retiré"
"Search :";"Rechercher:"
"Keyword :";"Mot clé:"
"Type :";"Type:"
"Status :";"Statut:"
"Date :";"Date de:"
"Net Receivables";"Créances nettes"
"Tentative Receivable";"Provisoire à recevoir"
"Available Balance";"Solde disponible"
"Available Balance:";"Solde disponible:"
"Withdrawal Amount:";"Montant du retrait:"
"Withdrawal Method:";"Méthode de retrait:"
"Deposit to Bank";"Dépôt à la Banque"
"Deposit To:";"Déposer à:"
"Mobile Number:";"Numéro de mobile:"
