"click here"; "Klik di sini"
"out of"; "dari"
"requirements are already completed"; "persyaratan sudah selesai"
"Frequently Ask Questions"; "Pertanyaan Umum"
"Add Product Category"; "Tambahkan kategori produk"
"Category One"; "Kategori satu"
"&nbsp;"; "&nbsp;"
"Add this Category"; "Tambahkan kategori ini"
"Verify Email Address"; "Memverifikasi alamat Email"
Code;Kode
"Resend Verification Code"; "Kirim ulang kode verifikasi"
Verify;Memverifikasi
"New Store Address"; "Alamat toko baru"
"Enter your address line 1 here"; "Masukkan alamat baris Anda 1 di sini"
Cancel;Batal
Submit;Kirim
Okay;Oke
"Are you sure you want to delete this address"; "Apakah Anda yakin Anda ingin menghapus alamat ini"
Delete;Hapus
"Progress Overview"; "Kemajuan Ikhtisar"
"This is to ensure that YiLinker is working with only legitimate businesses"; "Hal ini untuk memastikan bahwa YiLinker bekerja dengan perusahaan yang hanya sah"
"Seller Product"; "Penjual produk"
Category;Kategori
Brand;Merek
Warranty;Garansi
Quantity;Kuantitas
"Basketball Shoes"; "Sepatu basket"
"Enter your product brand"; "Masukkan merek produk Anda"
Yes;Ya
No;Tidak
"Go Back"; "Kembali"
Save;Simpan
"AFFILIATE AGREEMENT"; "PERJANJIAN AFILIASI"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"; "6/F lima E-com, Mall of Asia, Pasifik Drive, Pasay City"
"Advertising Media"; "Media iklan"
"Affiliate Program"; "Program Afiliasi"
