"click here";"clicca qui"
"out of";"di"
"requirements are already completed";"requisiti sono già stati completati"
"Frequently Ask Questions";"Domande Ricorrenti"
"Add Product Category";"Aggiungi Categoria Prodotto"
"Category One";"Categoria Uno"
"&nbsp";"&nbsp"
"Add this Category";"Aggiungi questa Categoria"
"Verify Email Address";"Verifica Indirizzo Email"
Code;Codice
"Resend Verification Code";"Reinvia Codice di Verifica"
Verify;Verifica
"New Store Address";"Nuovo Indirizzo Negozio"
"Enter your address line 1 here";"Inserisci qui la linea 1 del tuo indirizzo"
Cancel;Cancella
Submit;Invia
Okay;Ok
"Are you sure you want to delete this address";"Sei sicuro di voler eliminare questo indirizzo?"
Delete;Elimina
"Progress Overview";"Panoramica Progresso"
"This is to ensure that YiLinker is working with only legitimate businesses";"Questo è per accertarsi ch YiLinker lavori solo con business legittimi"
"Seller Product";"Prodotto Venditore"
Category;Categoria
Brand;Marchio
Warranty;Garanzia
Quantity;Quantità
"Basketball Shoes";"Scarpe da Basket"
"Enter your product brand";"Inserisci il tuo marchio di prodotto"
Yes;Sì
No;No
"Go Back";"Indietro"
Save;Salva
"AFFILIATE AGREEMENT";"ACCORDO DI AFFILIAZIONE"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"Media Pubblicitari"
"Affiliate Program";"Programma Affiliato"
"Affiliateâ€™s Website";"Sito Web Affiliato"
Customer;Cliente
EDM;EDM
Marks;Segni
Merchant;Commerciante
Platform;Piattaforma
Site;Sito
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"ACCORDO SERVIZI COMMERCIALI"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Accordo Commerciale"
"Site, Website";"Sito, Sito Web"
Payout;Pagamento
Products;Prodotti
Buyer;Compratore
"Selling Price";"Prezzo di Vendita"
"Corporate Name / Business Name";"Nome Commerciale"
Owner/President;Proprietario/Presidente
"Company Phone Number";"Numero di Telefono Società"
"Registered Office Address";"Indirizzo Sede Legale"
"Business Address (If different to registered office)";"Indirizzo Commerciale (se diverso da sede legale)"
"Contact Person";"Referente"
"Phone and Fax";"Telefono e Fax"
"Email Address";"Indirizzo Email"
Website/Facebook/Twitter/Instagram;Sito Web/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Sommario
"Bank Information";"Informazioni Bancarie"
"Edit Bank Account";"Modifica Conto Bancario"
"Bank Account";"Conto Bancario"
"Bank Details are Permanent";"I Dati Bancari sono Permanenti"
"Enter your bank account title here";"Inserisci qui il titolo del tuo conto bancario"
"Enter bank here";"Inserisci qui la banca"
"Account Number";"Numero Conto"
"Enter your bank account number here";"Inserisci qui il tuo numero di conto"
"Account Name";"Nome Conto"
"Enter your bank account name here";"Inserisci qui il nome del tuo conto bancario"
"Are you sure you want to delete this bank account";"Sei sicuro di voler eliminare questo conto bancario?"
Ok;Ok
"Business Information";"Informazioni Commerciali"
"Store Name";"Nome Negozio"
"Enter your display name";"Inserisci il tuo nome visualizzato"
"Store Link";"Link Negozio"
"Store Name and Store Link are Permanent";"Il Nome del Negozio e il Link del Negozio sono Permanenti"
"First Name";"Nome"
"Last Name";"Cognome"
"Mobile Number";"Cellulare"
"Company / School";"Società / Scuola"
"Current Job / Course & Year Level";"Lavoro Attuale / Corso e Anno"
TIN;TIN
Address;Indirizzo
"Edit Address";"Modifica Indirizzo"
"Delete Address";"Elimina Indirizzo"
"Business Website";"Sito Web Commerciale"
"Ex. https://yourWebSite.com";"Es. https://yourWebSite.com"
"Social Media Account";"Account Social Media"
"Select your Product Categories";"Seleziona le tue Categorie Prodotto"
"Address Title";"Titolo Indirizzo"
"Home Address";"Indirizzo di Casa"
"Unit Number";"Numero Unità"
"Building Name";"Nome Edificio"
"Street Number";"Numero Civico"
"Street Name";"Nome Via"
Subdivision;Suddivisione
Province;Provincia
"Select your province";"Seleziona la tua provincia"
City/Municipal;Città/Comune
Barangay;Barangay
"Zip Code";"Codice Postale"
Continue;Continua
"Legal Information";"Informazioni Legali"
"Legal Requirements";"Requisiti Legali"
"DTI/SEC Permit";"Permesso DTI/SEC"
"Download DTI/SEC Permit";"Scarica Permesso DTI/SEC"
"Compatible files: JPEG, PNG and PDF";"File compatibili:  JPEG, PNG e PDF"
"Mayor's Permit";"Permesso Sindaco"
"Download Mayor's Permit";"Scarica Permesso Sindaco"
"BIR Permit";"Permesso BIR"
"Download BIR Permit";"Scarica Permesso BIR"
"Select your DTI/SEC Permit file from your computer";"Seleziona il tuo file di permesso DTI/SEC dal tuo computer"
"Select your Mayor's Permit file from your computer";"Selezionare il documento di licenza del vostro sindaco dal tuo computer"
"Select your BIR Permit file from your computer";"Seleziona il tuo file di permesso BIR dal tuo computer"
"Other Documents";"Altri Documenti"
"Select a document file from your computer";"Seleziona un documento dal tuo computer"
"By Checking this box";"Selezionando questa casella"
"YiLinker's terms and conditions";"Termini e Condizioni di YiLinker"
"TIN File";"File TIN"
"Download TIN File";"Scarica File TIN"
"SSS File";"File SSS"
"Select Valid ID";"Seleziona ID Valido"
"Download SSS File";"Scarica File SSS"
"PAG-IBIG File";"File PAG-IBIG"
"Download PAG-IBIG File";"Scarica File PAG-IBIG"
"Postal File";"File Postale"
"Download Postal File";"Scarica File Postale"
"Passport File";"File Passaporto"
"Download Passport File";"Scarica File Passaporto"
