"click here";"Klik di sini"
"out of";"di luar"
"requirements are already completed";"Keperluan sudah siap dibina"
"Frequently Ask Questions";"Dengan kerap Soalan"
"Add Product Category";"Tambah kategori produk"
"Category One";"Kategori satu"
"&nbsp;";"&nbsp;"
"Add this Category";"Tambah Kategori ini"
"Verify Email Address";"Sahkan alamat e-mel"
Code;Kod
"Resend Verification Code";"Hantar semula kod pengesahan"
Verify;Mengesahkan
"New Store Address";"Alamat kedai baru"
"Enter your address line 1 here";"Masukkan anda alamat baris 1 di sini"
Cancel;Batal
Submit;serah
Okay;Okay
"Are you sure you want to delete this address";"Adakah anda pasti anda mahu menghapus alamat ini"
Delete;Hapus
"Progress Overview";"Gambaran keseluruhan perkembangan"
"This is to ensure that YiLinker is working with only legitimate businesses";"Ini adalah untuk memastikan bahawa YiLinker bekerja dengan hanya sah perniagaan"
"Seller Product";"Penjual produk"
Category;Kategori
Brand;Jenama
Warranty;Waranti
Quantity;Kuantiti
"Basketball Shoes";"Kasut bola keranjang"
"Enter your product brand";"Masukkan jenama produk anda"
Yes;Ya
No;tidak
"Go Back";"pergi balik"
Save;Simpan
"AFFILIATE AGREEMENT";"AFFILIATE PERJANJIAN"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F 5 E-com, Mall of Asia Pacific memandu, Pasay City"
"Advertising Media";"Media pengiklanan"
"Affiliate Program";"Affiliate Program"
