"click here";"ဤေနရာကို ႏွိပ္ပါ"
"out of";"တြင္"
"requirements are already completed";"လိုအပ္သည္မ်ားကို လုပ္ေဆာင္ျပီးပါျပီ"
"Frequently Ask Questions";"ေမးေလ့ေမးထရွိေသာ ေမးခြန္းမ်ား"
"Add Product Category";"ကုန္ပစၥည္း အမ်ဳိးအစားကို ေပါင္းထည့္ပါ"
"Category One";"အမ်ဳိးအစား တစ္"
"&nbsp;";"&nbsp;"
"Add this Category";"ဤအမ်ဳိးအစားကို ေပါင္းထည့္ပါ"
"Verify Email Address";"အီးေမးလ္လိပ္စာကို အတည္ျပဳပါ"
Code;ကုဒ္
"Resend Verification Code";"အတည္ျပဳ ကုဒ္ကို ျပန္ပို႕ပါ"
Verify;အတည္ျပဳပါ
"New Store Address";"စတိုးလိပ္စာ အသစ္"
"Enter your address line 1 here";"သင့္ လိပ္စာ ၁ ကို ဤေနရာတြင္ ျဖည့္ပါ"
Cancel;ပယ္ဖ်က္ပါ
Submit;ထည့္သြင္းပါ
Okay;အိုေက
"Are you sure you want to delete this address";"ဤလိပ္စာအား ဖ်က္ပစ္လိုသည္မွာ ေသခ်ာပါသလား။"
Delete;ဖ်က္ပါ
"Progress Overview";"လုပ္ငန္းစဥ္ အၾကမ္းၾကည့္ရႈမႈ"
"This is to ensure that YiLinker is working with only legitimate businesses";"YiLinker သည္ မွန္ကန္ေသာ စီးပြားေရးလုပ္ငန္းျဖင့္သာ အလုပ္လုပ္ေနေၾကာင္း ေသခ်ာပါသည္။"
"Seller Product";"ေရာင္းခ်သူ ကုန္ပစၥည္း"
Category;အမ်ဳိးအစား
Brand;ကုန္အမွတ္တံဆိပ္
Warranty;အာမခံ
Quantity;အေရအတြက္
"Basketball Shoes";"ဘတ္စကတ္ေဘာ ဖိနပ္"
"Enter your product brand";"သင့္ကုန္ပစၥည္း အမွတ္တံဆိပ္ကို ျဖည့္ပါ"
Yes;မွန္
No;မွား
"Go Back";"ျပန္သြားပါ"
Save;သိမ္းဆည္းပါ
"AFFILIATE AGREEMENT";"တြဲဖက္ သေဘာတူခ်က္"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"ေၾကာ္ျငာ မီဒီယာ"
"Affiliate Program";"တြဲဖက္ ပရိုဂရမ္"
"Affiliate鈥檚 Website";"တြဲဖက္â€™ ဝက္ဆိုဒ္"
Customer;ဝယ္ယူသုံးစြဲသူ
EDM;EDM
Marks;အမွတ္မ်ား
Merchant;ကုန္သည္
Platform;ပလက္ေဖာင္း
Site;ဆိုဒ္
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"ကုန္သည္ ဝန္ေဆာင္မႈ သေဘာတူညီခ်က္"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"ကုန္သည္ သေဘာတူညီခ်က္"
"Site, Website";"ဆိုဒ္၊ ဝက္ဘ္ဆိုဒ္"
Payout;အခေၾကးေငြ
Products;ကုန္ပစၥည္း
Buyer;ဝယ္သူ
"Selling Price";"ေရာင္းေစ်း"
"Corporate Name / Business Name";"ပူးေပါင္းေဆာင္ရြက္မႈ အမည္/ စီးပြားေရး အမည္"
Owner/President;ပိုင္ရွင္/ ဥကၠဌ
"Company Phone Number";"ကုမၸဏီ ဖုန္းနံပါတ္"
"Registered Office Address";"မွတ္ပုံတင္ထားေသာ ရုံးလိပ္စာ"
"Business Address (If different to registered office)";"လုပ္ငန္း လိပ္စာ (မွတ္ပုံတင္ထားေသာ ရုံးျဖင့္ မတူပါက)"
"Contact Person";"ဆက္သြယ္ရမည့္လူ"
"Phone and Fax";"ဖုန္းႏွင့္ ဖက္စ္"
"Email Address";"အီးေမးလ္လိပ္စာ"
