"click here";"Clique aquí"
"out of";"Fora de"
"requirements are already completed";"Os requisitos já cumpridos"
"Frequently Ask Questions";"Perguntas Freqüentes"
"Add Product Category";"Adicionar categoria de produtos"
"Category One";"Categoria um"
"&nbsp";"&nbsp"
"Add this Category";"Adicionar esta categoria"
"Verify Email Address";"Verificar correio electrónico"
Code;Código
"Resend Verification Code";"Reenviar código de verificação"
Verify;Verificar  
"New Store Address";"Endereço da nova loja"
"Enter your address line 1 here";"Insira o seu endereço na linha um aquí"
Cancel;Cancelar
Submit;Apresentar
Okay;Está bem
"Are you sure you want to delete this address";"Tem certeza de que deseja eliminar este endereço"
Delete;Eliminar
"Progress Overview";"Perspectiva dos progressos"
"This is to ensure that YiLinker is working with only legitimate businesses";"É para assegurrar que YiLinker trabalha só com comercios legítimos"
"Seller Product";"Produto de vendedor"
Category;Categoria  
Brand;Marca
Warranty;Garantia
Quantity;Quantidade
"Basketball Shoes";"Calçado para basquetebol"
"Enter your product brand";"Indique a sua marca de produtos"
Yes;Sim
No;Não
"Go Back";"Voltar"
Save;Guardar
"AFFILIATE AGREEMENT";"Acordo de Afiliado"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City"
"Advertising Media";"Meios de publicidade"
"Affiliate Program";"Programa de Afiliados"
"Affiliateâ€™s Website";"Site web de Afiliados"
Customer;Cliente
EDM;EDM
Marks;Observações
Merchant;Comerciante
Platform;Plataforma
Site;Site  
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"Acordo de serviços comerciantes"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall of Asia, Pacific Drive"
"Merchant Agreement";"Acordo de Comerciantes"
"Site, Website";"Site, site web"
Payout;Desembolso
Products;Produtos
Buyer;Comprador
"Selling Price";"Preço venda"
"Corporate Name / Business Name";"Nome Empresarial / Nome da empresa"
Owner/President;Proprietário / Presidente
"Company Phone Number";"Número de telefone da empresa"
"Registered Office Address";" Endereço da Empresa"
"Business Address (If different to registered office)";"Endereço da Empresa (si diferente do endereço da Empresa)"
"Contact Person";"Pessoa de contato"
