"click here";"คลิกที่นี่"
"out of";"จาก"
"requirements are already completed";"กำหนดแล้วเสร็จสมบูรณ์"
"Frequently Ask Questions";"คำถามที่ถามบ่อย"
"Add Product Category";"เพิ่มหมวดหมู่สินค้า"
"Category One";"ประเภทหนึ่ง"
"&nbsp;";"เพอร์ ฟูม nbsp;"
"Add this Category";"เพิ่มประเภทนี้"
"Verify Email Address";"ตรวจสอบอีเมล์"
Code;รหัส
"Resend Verification Code";"ส่งรหัสยืนยัน"
Verify;ตรวจสอบ
"New Store Address";"ที่อยู่ร้านใหม่"
"Enter your address line 1 here";"ป้อนของคุณที่อยู่สาย 1"
Cancel;ยกเลิก
Submit;ส่ง
Okay;โอเค
"Are you sure you want to delete this address";"คุณแน่ใจหรือคุณต้องการลบที่อยู่"
Delete;ลบ
"Progress Overview";"ภาพรวมความคืบหน้า"
"This is to ensure that YiLinker is working with only legitimate businesses";"ทั้งนี้เพื่อให้แน่ใจว่า YiLinker ทำงานกับธุรกิจที่ถูกกฎหมายเท่านั้น"
"Seller Product";"ผู้ขายสินค้า"
Category;ประเภท
Brand;แบรนด์
Warranty;การรับประกัน
Quantity;ปริมาณ
"Basketball Shoes";"รองเท้าบาสเกตบอล"
"Enter your product brand";"ใส่แบรนด์สินค้าของคุณ"
Yes;ใช่
No;ไม่ใช่
"Go Back";"ย้อนกลับ"
Save;บันทึก
"AFFILIATE AGREEMENT";"ข้อตกลงพันธมิตร"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F 5 E com ศูนย์การค้าของเอเชีย เมืองแปซิฟิกไดรฟ์ ปา"
"Advertising Media";"สื่อโฆษณา"
"Affiliate Program";"โปรแกรมพันธมิตร"
"Affiliate鈥檚 Website";"พันธมิตรâ€™ s เว็บไซต์"
Customer;ลูกค้า
EDM;EDM
Marks;เครื่องหมาย
Merchant;ร้านค้า
Platform;แพลตฟอร์ม
Site;เว็บไซต์
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"ข้อตกลงการให้บริการของร้านค้า"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F 5 E com มอลล์ออ ไดรฟ์แปซิฟิก"
"Merchant Agreement";"ข้อตกลงร้านค้า"
"Site, Website";"เว็บไซต์ เว็บไซต์"
Payout;จ่ายเงิน
Products;ผลิตภัณฑ์
Buyer;ผู้ซื้อ
"Selling Price";"ราคาขาย"
"Corporate Name / Business Name";"ชื่อบริษัท / ชื่อธุรกิจ"
Owner/President;เจ้าของ/กรรมการผู้จัดการ
"Company Phone Number";"หมายเลขโทรศัพท์บริษัท"
"Registered Office Address";"สำนักงานทะเบียน"
"Business Address (If different to registered office)";"ที่อยู่ธุรกิจ (ถ้าแตกต่างกันไปจดทะเบียน)"
"Contact Person";"ผู้ติดต่อ"
"Phone and Fax";"โทรศัพท์และโทรสาร"
"Email Address";"ที่อยู่อีเมล"
Website/Facebook/Twitter/Instagram;เว็บ ไซต์/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;สรุป
"Bank Information";"ข้อมูลธนาคาร"
"Edit Bank Account";"แก้ไขบัญชีธนาคาร"
