"click here";"Click vào đây"
"out of";"trong số"
"requirements are already completed";"yêu cầu đã được hoàn thành"
"Frequently Ask Questions";"Câu hỏi thường gặp"
"Add Product Category";"Thêm danh mục sản phẩm"
"Category One";"Thể loại 1"
"&nbsp;";"&nbsp;"
"Add this Category";"Thêm chuyên mục này"
"Verify Email Address";"Xác minh địa chỉ Email"
Code;Mã số
"Resend Verification Code";"Gửi lại mã xác minh"
Verify;Xác minh
"New Store Address";"Địa chỉ cửa hàng mới"
"Enter your address line 1 here";"Nhập địa chỉ đường dây của bạn 1 ở đây"
Cancel;Hủy bỏ
Submit;Gửi
Okay;Ok
"Are you sure you want to delete this address";"Bạn có chắc bạn muốn xóa địa chỉ này"
Delete;Xóa bỏ
"Progress Overview";"Tổng quan về sự tiến bộ"
"This is to ensure that YiLinker is working with only legitimate businesses";"Điều này đảm bảo rằng YiLinker đang làm việc với các doanh nghiệp chỉ hợp pháp"
"Seller Product";"Sản phẩm bán chạy"
Category;Thể loại
Brand;Thương hiệu
Warranty;Bảo hành
Quantity;Số lượng
"Basketball Shoes";"Giày bóng rổ"
"Enter your product brand";"Nhập thương hiệu sản phẩm của bạn"
Yes;Có
No;Không
"Go Back";"Quay lại"
Save;Tiết kiệm
"AFFILIATE AGREEMENT";"LIÊN KẾT THỎA THUẬN"
"6/F Five E-com, Mall of Asia, Pacific Drive, Pasay City";"6/F Five E-com, Mall của Châu á, Thái Bình Dương ổ, Pasay City"
"Advertising Media";"Phương tiện truyền thông quảng cáo"
"Affiliate Program";"Chương trình liên kết"
"Affiliate鈥檚 Website";"Affiliate â€™ s trang web"
Customer;Khách hàng
EDM;EDM
Marks;Nhãn hiệu
Merchant;Thương gia
Platform;Nền tảng
Site;Trang web
SEM;SEM
SEO;SEO
"MERCHANT SERVICES AGREEMENT";"THỎA THUẬN DỊCH VỤ THƯƠNG MẠI"
"6/F Five E-com, Mall of Asia, Pacific Drive";"6/F Five E-com, Mall của Châu á, Thái Bình Dương ổ"
"Merchant Agreement";"Hiệp định thương mại"
"Site, Website";"Trang web, trang web"
Payout;Thanh toán
Products;Sản phẩm
Buyer;Người mua
"Selling Price";"Giá bán"
"Corporate Name / Business Name";"Tên công ty / doanh nghiệp tên"
Owner/President;Chủ sở hữu/chủ tịch
"Company Phone Number";"Số điện thoại công ty"
"Registered Office Address";"Địa chỉ đăng ký văn phòng"
"Business Address (If different to registered office)";"Địa chỉ kinh doanh (nếu khác đến văn phòng đăng ký)"
"Contact Person";"Người liên hệ"
"Phone and Fax";"Điện thoại và Fax"
"Email Address";"Địa chỉ email"
Website/Facebook/Twitter/Instagram;Website/Facebook/Twitter/Instagram
a);a)
b);b)
c);c)
Summary;Tóm tắt
"Bank Information";"Thông tin ngân hàng"
"Edit Bank Account";"Chỉnh sửa tài khoản ngân hàng"
"Bank Account";"Tài khoản ngân hàng"
"Bank Details are Permanent";"Chi tiết ngân hàng là vĩnh cửu"
"Enter your bank account title here";"Nhập tiêu đề tài khoản ngân hàng của bạn ở đây"
